ID,ZorginstellingenSBI2008,Perioden,Ondernemingen_1,TotaalBedrijfsopbrengsten_2,TotaalNettoOmzet_3,WettelijkBudget_4,OpbrengstenDBCSDBCZorgproducten_5,TotaalOverigeNettoOmzet_6,ZorgprestatiesTussenInstellingen_7,PersoonsgebondenEnVolgendeBudgetten_8,OverigeZorgprestaties_9,OverigeDienstverlening_10,TotaalOverigeBedrijfsopbrengsten_11,Subsidies_12,NietEerderGenoemdeBedrijfsopbrengsten_13,TotaalBedrijfskosten_14,TotaalArbeidskosten_15,LonenEnSalarissen_16,PensioenlastenEnSocialeLasten_17,AfschrijvingenOpVasteActiva_18,BijzondereWaardeverminderingen_19,TotaalOverigeBedrijfskosten_20,TotaalOverigePersoneelskosten_21,KostenUitzendkrachtenEnOverigeInleen_22,NietEerderGenoemdePersoneelskosten_23,TotaalNietEerderGenoemdeBedrKosten_24,VoedingEnHotelmatigeKosten_25,AlgemeneKosten_26,ClientEnBewonersgebondenKosten_27,OnderhoudsEnEnergiekosten_28,HuurOperationeleLeasingKapGoederen_29,AndereBedrijfskosten_30,Bedrijfsresultaat_31,FinancieleBaten_32,FinancieleLasten_33,FinancieelResultaat_34,BuitengewoneBaten_35,BuitengewoneLasten_36,BuitengewoonResultaat_37,ResultaatVoorBelastingen_38,TotaalActiva_39,ImmaterieleVasteActiva_40,MaterieleVasteActiva_41,TotaalFinancieleVasteActiva_42,Deelnemingen_43,OverigeLanglopendeVorderingen_44,TotaalVoorraden_45,Voorraden_46,OnderhandenWerkDBCS_47,TotaalKortlopendeVorderingen_48,VorderingenOpDebiteuren_49,VorderingenUHVBekostiging_50,OverigeKortlopendeVorderingen_51,Effecten_52,LiquideMiddelen_53,TotaalPassiva_54,TotaalEigenVermogen_55,Kapitaal_56,CollectiefGefinGebVermogen_57,NietCollectiefGefinVrijVermogen_58,Voorzieningen_59,LanglopendeSchulden_60,TotaalKortlopendeSchulden_61,SchuldenAanKredietinstellingen_62,Crediteuren_63,AflossingsverplichtingLanglopLening_64,SchuldenUHVBekostiging_65,OverigeKortlopendeSchulden_66,BoekwaardePer1Januari_67,Investeringen_68,Herwaarderingen_69,Desinvesteringen_70,Afschrijvingen_71,BijzondereWaardeverminderingen_72,TerugnameAfgeschrevenActiva_73,BoekwaardePer31December_74,WettelijkBudgetVerslagjaar_75,OpbrengstenTerDekkingWettelijkBudget_76,FinancieringsverschilBudgetOpbrengsten_77,BanenWerknemers_78,ArbeidsjarenWerknemers_79
0,422800  ,2006JJ00,8,4699,3693.0,3189,,504.0,,,,,1006.0,844.0,162.0,4554,2697,2177,520,209,,1647.0,221.0,102.0,119.0,1426.0,131.0,307.0,792.0,125.0,37.0,34.0,145,12.0,67.0,-56.0,0.0,0.0,0.0,90.0,5305,78,3132,33,,,684,,,1027,,,,3,348,5305,1436,,,,267,1382,2220,,,,,,,395.0,,,,,,3132,3169,3444.0,-274.0,60490.0,47900.0
1,422800  ,2007JJ00,8,5210,3772.0,3253,70.0,450.0,26.0,0.0,18.0,406.0,1438.0,1061.0,377.0,5071,2885,2340,545,261,,1925.0,229.0,116.0,113.0,1696.0,131.0,378.0,934.0,165.0,28.0,61.0,139,24.0,71.0,-47.0,0.0,3.0,-3.0,89.0,5319,2,3327,36,16.0,20.0,664,60.0,604.0,932,582.0,0.0,350.0,0,358,5319,1503,8.0,1287.0,209.0,305,1220,2292,161.0,241.0,106.0,776.0,1009.0,3162.0,461.0,,15.0,280.0,,0.0,3327,2982,3486.0,-503.0,61870.0,49600.0
2,422800  ,2008JJ00,8,5841,3661.0,2926,166.0,569.0,31.0,0.0,48.0,490.0,2180.0,1739.0,442.0,5705,3218,2603,614,291,,2197.0,298.0,158.0,141.0,1898.0,144.0,438.0,1013.0,213.0,38.0,53.0,136,25.0,60.0,-35.0,0.0,0.0,0.0,101.0,5621,2,3604,41,8.0,33.0,587,64.0,523.0,890,603.0,1.0,286.0,0,496,5621,941,13.0,658.0,270.0,394,1913,2372,103.0,233.0,82.0,806.0,1149.0,3381.0,560.0,,22.0,316.0,,0.0,3604,2906,3168.0,-261.0,68220.0,52790.0
3,422800  ,2009JJ00,8,6267,4057.0,3038,307.0,712.0,28.0,0.0,55.0,629.0,2211.0,1849.0,362.0,6157,3488,2805,682,296,0.0,2374.0,330.0,188.0,142.0,2044.0,148.0,449.0,1088.0,242.0,37.0,79.0,110,16.0,57.0,-42.0,1.0,0.0,1.0,69.0,5823,3,3918,41,7.0,34.0,649,72.0,577.0,949,554.0,31.0,364.0,0,264,5823,1050,14.0,722.0,314.0,454,2189,2129,342.0,222.0,89.0,184.0,1292.0,3673.0,602.0,0.0,17.0,340.0,0.0,0.0,3918,2942,2811.0,132.0,70790.0,54920.0
4,422800  ,2010JJ00,8,6640,4402.0,3231,408.0,763.0,43.0,0.0,44.0,676.0,2238.0,1983.0,254.0,6534,3717,2983,734,420,21.0,2376.0,357.0,193.0,164.0,2019.0,148.0,421.0,1125.0,208.0,41.0,76.0,105,7.0,71.0,-65.0,0.0,0.0,0.0,41.0,6284,20,4077,41,8.0,32.0,486,79.0,406.0,1452,498.0,545.0,409.0,0,208,6284,1089,16.0,751.0,323.0,499,2285,2410,807.0,272.0,92.0,0.0,1239.0,3900.0,634.0,0.0,17.0,439.0,1.0,0.0,4077,3155,2723.0,432.0,72250.0,55930.0
5,422800  ,2011JJ00,8,6866,4541.0,3300,425.0,817.0,45.0,0.0,43.0,729.0,2324.0,2073.0,252.0,6683,3819,3063,756,388,6.0,2470.0,361.0,194.0,167.0,2109.0,150.0,441.0,1187.0,212.0,47.0,71.0,183,9.0,104.0,-95.0,2.0,2.0,0.0,88.0,6961,13,4429,59,28.0,31.0,715,91.0,624.0,1496,820.0,298.0,378.0,0,247,6961,1215,19.0,860.0,336.0,516,2824,2406,591.0,272.0,122.0,52.0,1369.0,4062.0,831.0,0.0,70.0,382.0,-3.0,16.0,4429,3110,2822.0,287.0,71750.0,57170.0
6,422800  ,2012JJ00,8,7190,4739.0,389,3417.0,933.0,42.0,0.0,31.0,861.0,2451.0,2134.0,317.0,6952,3975,3143,831,396,18.0,2563.0,346.0,186.0,160.0,2217.0,149.0,480.0,1302.0,188.0,55.0,43.0,238,7.0,118.0,-111.0,0.0,1.0,-1.0,125.0,7637,29,4638,58,29.0,29.0,351,104.0,247.0,2252,933.0,136.0,1182.0,2,308,7637,1497,27.0,1121.0,350.0,491,3098,2550,315.0,307.0,106.0,119.0,1704.0,4456.0,646.0,2.0,3.0,435.0,28.0,0.0,4638,248,233.0,15.0,71940.0,57050.0
7,422800  ,2013JJ00,8,7546,4798.0,143,3789.0,867.0,42.0,0.0,51.0,774.0,2748.0,2227.0,520.0,7323,4051,3166,884,464,52.0,2756.0,362.0,196.0,165.0,2394.0,148.0,488.0,1448.0,219.0,51.0,39.0,223,20.0,124.0,-104.0,0.0,2.0,-2.0,117.0,7646,51,4577,55,37.0,19.0,184,105.0,78.0,2364,1058.0,241.0,1065.0,2,412,7646,1637,29.0,1180.0,427.0,525,3067,2416,261.0,295.0,142.0,104.0,1613.0,4603.0,541.0,0.0,15.0,494.0,30.0,27.0,4577,64,17.0,47.0,71389.0,55939.0
8,422800  ,2014JJ00,8,7621,4835.0,87,3934.0,814.0,48.0,0.0,60.0,706.0,2787.0,2277.0,509.0,7346,4130,3221,909,439,9.0,2768.0,339.0,181.0,158.0,2430.0,146.0,524.0,1446.0,196.0,54.0,63.0,275,21.0,117.0,-95.0,0.0,0.0,0.0,179.0,7704,83,4556,57,34.0,23.0,195,76.0,119.0,1937,950.0,100.0,887.0,4,872,7704,1836,28.0,,,670,2934,2264,100.0,270.0,132.0,141.0,1621.0,4577.0,483.0,4.0,10.0,462.0,9.0,27.0,4556,64,16.0,48.0,71673.0,56125.0
9,422900  ,2006JJ00,82,10537,10309.0,9004,,1305.0,,,,,228.0,33.0,195.0,10176,5603,4548,1055,760,,3814.0,441.0,217.0,224.0,3373.0,393.0,600.0,1954.0,261.0,86.0,79.0,361,16.0,304.0,-288.0,13.0,12.0,2.0,75.0,12750,258,7932,181,,,1019,,,2858,,,,0,502,12750,1133,,,,261,4966,6389,,,,,,,1414.0,,,,,,7932,8975,10421.0,-1446.0,176350.0,123540.0
10,422900  ,2007JJ00,81,11068,10412.0,9062,862.0,488.0,109.0,2.0,160.0,218.0,656.0,297.0,359.0,10672,5812,4714,1098,880,,3980.0,477.0,258.0,219.0,3503.0,415.0,660.0,1994.0,282.0,77.0,76.0,396,31.0,287.0,-256.0,7.0,13.0,-6.0,134.0,13000,37,8553,152,34.0,117.0,1236,143.0,1092.0,2568,1867.0,39.0,662.0,3,450,13000,1282,73.0,1058.0,152.0,271,4936,6511,1669.0,657.0,484.0,1647.0,2054.0,7811.0,2106.0,,564.0,823.0,,-23.0,8553,8979,10326.0,-1347.0,180320.0,125510.0
11,422900  ,2008JJ00,79,11724,11039.0,8384,2045.0,610.0,127.0,0.0,188.0,295.0,685.0,290.0,395.0,11331,6157,4981,1176,894,,4279.0,570.0,337.0,233.0,3710.0,432.0,671.0,2148.0,308.0,81.0,70.0,393,40.0,316.0,-277.0,16.0,16.0,0.0,116.0,13762,15,9103,272,32.0,240.0,1142,148.0,995.0,2732,1954.0,71.0,707.0,3,495,13762,1416,78.0,1184.0,153.0,313,5223,6809,1498.0,659.0,485.0,1873.0,2294.0,8537.0,1781.0,,250.0,947.0,,18.0,9103,8293,8787.0,-493.0,183920.0,125460.0
12,422900  ,2009JJ00,78,12659,11857.0,8008,3235.0,615.0,149.0,1.0,183.0,282.0,802.0,321.0,481.0,12171,6452,5241,1211,979,22.0,4718.0,636.0,384.0,252.0,4082.0,459.0,797.0,2326.0,340.0,82.0,78.0,488,12.0,298.0,-286.0,13.0,0.0,13.0,215.0,14187,128,9485,255,24.0,231.0,898,176.0,722.0,2890,2140.0,100.0,649.0,3,528,14187,1684,67.0,1454.0,163.0,348,5494,6661,1652.0,644.0,534.0,1554.0,2276.0,9122.0,1925.0,43.0,518.0,933.0,59.0,96.0,9485,7922,8279.0,-358.0,190640.0,129790.0
13,422900  ,2010JJ00,76,13845,13036.0,8710,3617.0,709.0,173.0,1.0,173.0,362.0,810.0,355.0,454.0,13273,6789,5503,1286,1534,60.0,4890.0,656.0,377.0,280.0,4233.0,460.0,810.0,2490.0,346.0,71.0,57.0,572,22.0,327.0,-304.0,14.0,0.0,14.0,281.0,14288,37,9431,187,23.0,164.0,777,179.0,598.0,3283,2222.0,339.0,722.0,3,570,14288,2006,67.0,1764.0,175.0,438,5803,6041,1606.0,677.0,559.0,991.0,2208.0,9471.0,2030.0,15.0,470.0,1117.0,117.0,381.0,9431,8628,8400.0,227.0,193420.0,133220.0
14,422900  ,2011JJ00,75,13775,12776.0,8170,3829.0,777.0,188.0,1.0,203.0,385.0,999.0,502.0,497.0,13196,7060,5717,1343,1103,26.0,5007.0,666.0,377.0,290.0,4340.0,457.0,808.0,2607.0,338.0,77.0,54.0,579,21.0,340.0,-320.0,6.0,1.0,5.0,265.0,15315,25,9844,215,35.0,180.0,953,184.0,769.0,3239,2207.0,172.0,860.0,3,1035,15315,2297,68.0,2035.0,194.0,548,6525,5944,811.0,752.0,577.0,1386.0,2418.0,9440.0,1736.0,13.0,245.0,1065.0,0.0,35.0,9844,8113,8880.0,-767.0,195640.0,135110.0
15,422900  ,2012JJ00,75,14455,13251.0,1216,11225.0,810.0,184.0,0.0,276.0,349.0,1204.0,589.0,615.0,13841,7305,5909,1396,1110,24.0,5401.0,655.0,334.0,321.0,4746.0,460.0,809.0,2978.0,332.0,85.0,82.0,614,25.0,369.0,-344.0,2.0,1.0,2.0,272.0,16171,32,10152,229,41.0,189.0,1029,197.0,832.0,3916,2236.0,84.0,1596.0,4,809,16171,2625,89.0,2319.0,217.0,685,6844,6018,991.0,697.0,610.0,746.0,2974.0,9850.0,1603.0,0.0,177.0,1094.0,44.0,-15.0,10152,1357,1310.0,46.0,195940.0,135930.0
16,422900  ,2013JJ00,73,15069,13762.0,636,12425.0,702.0,189.0,1.0,252.0,260.0,1307.0,588.0,718.0,14333,7511,6090,1421,1123,17.0,5681.0,640.0,327.0,313.0,5041.0,466.0,914.0,3141.0,368.0,88.0,65.0,736,17.0,359.0,-343.0,1.0,1.0,0.0,393.0,16510,18,10544,133,33.0,100.0,596,187.0,409.0,4194,2473.0,467.0,1254.0,4,1021,16510,3100,151.0,2729.0,220.0,778,6952,5680,1158.0,703.0,608.0,312.0,2898.0,10119.0,1579.0,50.0,72.0,1092.0,15.0,25.0,10544,748,706.0,42.0,,133563.0
17,422900  ,2014JJ00,72,15238,13904.0,652,12643.0,609.0,186.0,1.0,176.0,246.0,1335.0,641.0,694.0,14614,7677,6173,1504,1105,9.0,5823.0,655.0,336.0,319.0,5168.0,453.0,945.0,3258.0,355.0,96.0,60.0,625,16.0,356.0,-340.0,2.0,2.0,0.0,284.0,16471,30,10733,130,43.0,87.0,526,204.0,322.0,3782,2079.0,317.0,1386.0,4,1267,16471,3409,190.0,,,826,7134,5102,541.0,648.0,674.0,277.0,2963.0,10577.0,1310.0,5.0,70.0,1086.0,-2.0,5.0,10733,594,570.0,23.0,190105.0,133949.0
18,423000  ,2006JJ00,28,835,751.0,584,,167.0,,,,,84.0,42.0,42.0,800,507,414,94,54,,238.0,53.0,26.0,26.0,186.0,30.0,55.0,65.0,24.0,8.0,2.0,36,1.0,24.0,-23.0,2.0,0.0,2.0,14.0,1000,22,680,23,,,39,,,204,,,,0,33,1000,166,,,,28,412,394,,,,,,,93.0,,,,,,680,584,487.0,98.0,14080.0,9900.0
19,423000  ,2007JJ00,27,911,795.0,611,110.0,74.0,17.0,0.0,2.0,54.0,116.0,73.0,43.0,880,551,451,100,56,,272.0,51.0,29.0,22.0,221.0,32.0,59.0,87.0,31.0,9.0,3.0,31,2.0,25.0,-23.0,2.0,2.0,-1.0,8.0,1039,3,729,11,1.0,10.0,50,5.0,46.0,203,106.0,18.0,79.0,3,39,1039,181,10.0,127.0,45.0,37,405,415,152.0,38.0,29.0,36.0,161.0,692.0,112.0,,17.0,58.0,,0.0,729,611,616.0,-6.0,15280.0,10770.0
20,423000  ,2008JJ00,27,980,830.0,613,123.0,95.0,11.0,0.0,17.0,66.0,149.0,95.0,54.0,940,586,480,106,66,,288.0,59.0,35.0,24.0,229.0,35.0,63.0,88.0,29.0,13.0,3.0,39,1.0,26.0,-25.0,2.0,0.0,2.0,16.0,1131,1,746,13,6.0,7.0,70,5.0,65.0,240,115.0,44.0,81.0,8,53,1131,184,9.0,129.0,47.0,31,431,484,158.0,40.0,37.0,40.0,208.0,723.0,89.0,,2.0,61.0,,4.0,746,616,615.0,1.0,15910.0,11410.0
21,423000  ,2009JJ00,25,1064,892.0,649,149.0,94.0,12.0,1.0,20.0,61.0,173.0,110.0,63.0,1023,636,517,119,75,0.0,313.0,60.0,36.0,24.0,252.0,37.0,74.0,100.0,30.0,9.0,1.0,41,1.0,23.0,-22.0,2.0,0.0,1.0,20.0,1230,0,788,10,5.0,5.0,102,7.0,95.0,278,137.0,49.0,92.0,9,43,1230,214,9.0,146.0,58.0,37,418,561,247.0,54.0,33.0,34.0,193.0,746.0,129.0,0.0,17.0,69.0,0.0,0.0,788,610,603.0,6.0,16840.0,11550.0
22,423000  ,2010JJ00,23,1157,981.0,695,158.0,128.0,15.0,2.0,28.0,82.0,176.0,129.0,48.0,1112,675,552,123,83,23.0,330.0,68.0,41.0,27.0,262.0,37.0,76.0,103.0,30.0,11.0,5.0,46,1.0,27.0,-26.0,0.0,0.0,0.0,19.0,1208,0,746,8,4.0,4.0,134,8.0,126.0,254,112.0,48.0,94.0,9,57,1208,236,9.0,161.0,66.0,40,437,494,170.0,42.0,43.0,41.0,198.0,785.0,65.0,0.0,9.0,95.0,0.0,0.0,746,689,676.0,13.0,17490.0,12130.0
23,423000  ,2011JJ00,23,1204,1018.0,713,171.0,133.0,14.0,2.0,31.0,86.0,187.0,120.0,67.0,1161,709,579,129,90,7.0,355.0,72.0,44.0,28.0,283.0,39.0,77.0,115.0,31.0,13.0,8.0,44,1.0,22.0,-21.0,0.0,0.0,0.0,23.0,1206,0,708,13,4.0,10.0,165,9.0,156.0,227,87.0,46.0,94.0,8,86,1206,260,9.0,181.0,70.0,52,438,457,134.0,53.0,35.0,48.0,186.0,747.0,63.0,0.0,11.0,83.0,8.0,1.0,708,828,840.0,-11.0,17880.0,12200.0
24,423000  ,2012JJ00,23,1235,1044.0,260,684.0,100.0,11.0,2.0,26.0,61.0,190.0,122.0,69.0,1193,731,596,135,74,1.0,387.0,83.0,47.0,36.0,304.0,39.0,75.0,139.0,30.0,13.0,8.0,41,2.0,19.0,-17.0,0.0,0.0,0.0,24.0,1248,0,732,13,3.0,10.0,70,8.0,62.0,343,137.0,35.0,170.0,9,81,1248,288,10.0,204.0,74.0,45,402,513,155.0,58.0,35.0,90.0,175.0,708.0,110.0,0.0,10.0,72.0,3.0,0.0,732,269,235.0,34.0,17790.0,12220.0
25,423000  ,2013JJ00,23,1289,1093.0,128,878.0,87.0,10.0,1.0,21.0,54.0,196.0,124.0,72.0,1239,757,611,145,78,2.0,402.0,75.0,44.0,32.0,326.0,38.0,80.0,158.0,32.0,14.0,4.0,50,4.0,20.0,-16.0,0.0,0.0,0.0,34.0,1331,1,781,14,3.0,11.0,78,11.0,68.0,351,119.0,89.0,144.0,7,99,1331,319,10.0,220.0,88.0,57,497,458,87.0,56.0,40.0,20.0,255.0,731.0,167.0,3.0,43.0,78.0,0.0,0.0,781,134,117.0,17.0,17945.0,12607.0
26,423000  ,2014JJ00,23,1322,1108.0,119,897.0,92.0,12.0,2.0,23.0,56.0,213.0,135.0,79.0,1282,778,625,154,73,0.0,430.0,87.0,46.0,41.0,343.0,37.0,78.0,177.0,31.0,14.0,6.0,39,2.0,22.0,-20.0,1.0,0.0,0.0,19.0,1360,5,823,11,0.0,10.0,83,13.0,71.0,306,96.0,78.0,131.0,6,126,1360,339,19.0,,,61,545,415,36.0,55.0,37.0,16.0,271.0,792.0,107.0,0.0,3.0,73.0,0.0,1.0,823,92,82.0,10.0,18064.0,12856.0
27,800027  ,2006JJ00,100,4308,3784.0,3690,,93.0,28.0,2.0,9.0,54.0,524.0,431.0,93.0,4181,2831,2302,529,183,,1167.0,264.0,132.0,132.0,903.0,194.0,308.0,122.0,149.0,118.0,11.0,127,4.0,61.0,-57.0,3.0,2.0,0.0,70.0,2965,34,2399,11,,,7,7.0,0.0,179,,47.0,,1,334,2965,621,14.0,531.0,76.0,142,1174,1028,,,,49.0,,,409.0,,,,,,2399,3678,3655.0,23.0,75860.0,57760.0
28,800027  ,2007JJ00,102,4630,3967.0,3872,0.0,95.0,24.0,3.0,10.0,57.0,663.0,549.0,114.0,4519,3031,2478,554,204,,1284.0,283.0,148.0,136.0,1000.0,210.0,335.0,136.0,154.0,150.0,15.0,111,9.0,66.0,-56.0,8.0,0.0,8.0,63.0,3175,7,2599,15,2.0,13.0,7,7.0,0.0,271,53.0,94.0,124.0,0,275,3175,705,15.0,591.0,99.0,145,1243,1083,174.0,156.0,77.0,24.0,652.0,2402.0,515.0,,114.0,205.0,,0.0,2599,3866,3784.0,82.0,80010.0,60080.0
29,800027  ,2008JJ00,97,4862,4055.0,3963,0.0,92.0,23.0,6.0,15.0,48.0,807.0,668.0,139.0,4753,3187,2579,608,214,,1351.0,318.0,169.0,149.0,1033.0,216.0,345.0,146.0,157.0,153.0,17.0,110,18.0,104.0,-85.0,3.0,1.0,2.0,26.0,4803,8,2780,19,3.0,16.0,668,7.0,661.0,1208,393.0,425.0,389.0,0,120,4803,724,19.0,596.0,109.0,154,1434,2490,1369.0,179.0,102.0,39.0,801.0,2603.0,551.0,,149.0,223.0,,1.0,2780,3984,3569.0,415.0,81380.0,61560.0
30,800027  ,2009JJ00,95,5238,4319.0,4226,0.0,93.0,23.0,6.0,18.0,46.0,919.0,771.0,149.0,5057,3357,2762,595,224,5.0,1472.0,329.0,172.0,157.0,1143.0,230.0,382.0,145.0,162.0,175.0,49.0,181,12.0,94.0,-82.0,2.0,3.0,0.0,99.0,4962,7,2929,24,2.0,21.0,584,6.0,578.0,1247,513.0,249.0,485.0,1,169,4962,816,20.0,674.0,122.0,171,1498,2477,1010.0,177.0,107.0,381.0,803.0,2760.0,625.0,0.0,220.0,225.0,9.0,1.0,2929,4233,4458.0,-225.0,83690.0,63440.0
31,800027  ,2010JJ00,95,5324,4393.0,4297,0.0,96.0,29.0,5.0,21.0,41.0,931.0,791.0,139.0,5148,3446,2813,633,237,1.0,1465.0,322.0,151.0,170.0,1143.0,228.0,376.0,152.0,171.0,183.0,34.0,176,10.0,87.0,-77.0,1.0,2.0,-1.0,98.0,4843,9,2989,46,4.0,42.0,577,6.0,571.0,899,453.0,123.0,324.0,0,323,4843,894,20.0,747.0,127.0,204,1579,2166,499.0,167.0,153.0,528.0,819.0,2895.0,425.0,1.0,79.0,234.0,19.0,0.0,2989,4281,4360.0,-79.0,83650.0,63020.0
32,800027  ,2011JJ00,100,5550,4619.0,4516,0.0,103.0,26.0,7.0,24.0,47.0,931.0,800.0,130.0,5359,3567,2903,664,285,35.0,1472.0,326.0,145.0,180.0,1146.0,228.0,383.0,140.0,175.0,182.0,38.0,191,18.0,92.0,-74.0,1.0,0.0,1.0,118.0,4831,9,3082,53,6.0,47.0,461,5.0,456.0,895,436.0,157.0,303.0,0,331,4831,1014,16.0,867.0,131.0,249,1700,1868,511.0,200.0,122.0,250.0,785.0,3014.0,465.0,18.0,95.0,278.0,37.0,4.0,3082,4516,4274.0,242.0,84290.0,63430.0
