12,1981JJ00,339656.0,180984.0,158672.0,6506.0,37827.0,11211.0,26616.0,3810.0,1176.0,10068.0,28499.0,3740.0,8411.0,7536.0,10436.0,37102.0,3561.0,13481.0,16534.0,4194.0,1141.0,172153.0,506582.0,253617.0,253789.0,4470.0,25716.0,14229.0,34218.0,5171.0,2419.0,20472.0,41991.0,4952.0,17015.0,16980.0,20651.0,70215.0,8266.0,15658.0,29824.0,3635.0,,280193.0,-1.1,-1.8,-0.2,9.0,10.9,-2.2,-0.9,-2.2,0.5,-11.8,0.5,-1.1,-1.9,3.9,-1.2,2.5,-0.8,-7.2,-5.0,1.8,,-0.8,67.0,71.4,62.5,145.6,147.1,78.8,77.8,73.7,48.6,49.2,67.9,75.5,49.4,44.4,50.5,52.8,43.1,86.1,55.4,115.4,,61.4,96120.0,74133.0,21987.0,13512.0,18278.0,4766.0,62521.0,23458.0,39063.0,172153.0,,,,27911.0,32725.0,4069.0,,31775.0,,280193.0,,,,-6.3,-4.3,1.2,,2.7,,-0.8,,,,48.4,55.9,117.1,,73.8,,61.4,165403.0,130928.0,88736.0,42192.0,35409.0,28646.0,6763.0,-934.0,98042.0,80255.0,17787.0,91292.0,75176.0,16116.0,172153.0,271469.0,226492.0,152587.0,74129.0,46271.0,37519.0,8683.0,-3175.0,96225.0,71562.0,25642.0,87848.0,62047.0,27276.0,280193.0,-3.7,-0.8,-2.4,2.5,-9.4,-10.7,-3.7,,2.9,2.3,5.3,-2.6,-2.5,-3.3,-0.8,60.9,57.8,58.2,56.9,76.5,76.4,77.9,,101.9,112.1,69.4,103.9,121.2,59.1,61.4
13,1982JJ00,351912.0,187624.0,164288.0,6909.0,38802.0,11611.0,27191.0,3339.0,1249.0,9598.0,29442.0,3932.0,9376.0,8531.0,10493.0,38892.0,3725.0,13590.0,17355.0,4699.0,934.0,177878.0,501632.0,251871.0,250473.0,4659.0,27778.0,13048.0,33872.0,4133.0,2441.0,19376.0,40871.0,4924.0,17863.0,17741.0,20017.0,71141.0,8263.0,15585.0,29662.0,3596.0,,276716.0,-1.0,-0.7,-1.3,4.2,8.0,-8.3,-1.0,-20.1,0.9,-5.4,-2.7,-0.6,5.0,4.5,-3.1,1.3,0.0,-0.5,-0.5,-1.1,,-1.2,70.2,74.5,65.6,148.3,139.7,89.0,80.3,80.8,51.2,49.5,72.0,79.9,52.5,48.1,52.4,54.7,45.1,87.2,58.5,130.7,,64.3,99040.0,76717.0,22323.0,13825.0,19225.0,5400.0,65013.0,24878.0,40135.0,177878.0,,,,27688.0,32618.0,4110.0,,32524.0,,276716.0,,,,-0.8,-0.3,1.0,,2.4,,-1.2,,,,49.9,58.9,131.4,,76.5,,64.3,170174.0,136297.0,91812.0,44485.0,35484.0,28840.0,6644.0,-1607.0,101322.0,83427.0,17895.0,93618.0,77200.0,16418.0,177878.0,268036.0,225579.0,150380.0,75456.0,44994.0,36619.0,8311.0,-5170.0,95217.0,71160.0,24812.0,86903.0,61505.0,26724.0,276716.0,-1.3,-0.4,-1.4,1.8,-2.8,-2.4,-4.3,,-1.0,-0.6,-3.2,-1.1,-0.9,-2.0,-1.2,63.5,60.4,61.1,59.0,78.9,78.8,79.9,,106.4,117.2,72.1,107.7,125.5,61.4,64.3
14,1983JJ00,364407.0,194159.0,170248.0,6840.0,39977.0,12258.0,27719.0,3276.0,1356.0,9308.0,30794.0,4155.0,10428.0,9635.0,11055.0,39552.0,3872.0,13834.0,18152.0,5205.0,887.0,184082.0,511442.0,256568.0,255631.0,4522.0,32050.0,13869.0,34926.0,3872.0,2469.0,18934.0,41644.0,5020.0,18880.0,18463.0,20273.0,72642.0,8164.0,15927.0,30226.0,3653.0,,282444.0,2.0,1.9,2.1,-2.9,15.4,6.3,3.1,-6.3,1.1,-2.3,1.9,2.0,5.7,4.1,1.3,2.1,-1.2,2.2,1.9,1.6,,2.1,71.3,75.7,66.6,151.2,124.7,88.4,79.4,84.6,54.9,49.2,73.9,82.8,55.2,52.2,54.5,54.4,47.4,86.9,60.1,142.5,,65.2,100344.0,76829.0,23515.0,14131.0,20131.0,6000.0,69607.0,25683.0,43924.0,184082.0,,,,28173.0,33285.0,4224.0,,33264.0,,282444.0,,,,1.8,2.0,2.8,,2.3,,2.1,,,,50.2,60.5,142.0,,77.2,,65.2,177921.0,141331.0,95533.0,45798.0,36528.0,30249.0,6279.0,62.0,104260.0,86363.0,17897.0,98099.0,81102.0,16997.0,184082.0,275657.0,229721.0,152274.0,77740.0,45965.0,38089.0,7822.0,-119.0,97386.0,73403.0,24366.0,90119.0,64069.0,27124.0,282444.0,2.8,1.8,1.3,3.0,2.2,4.0,-5.9,,2.3,3.2,-1.8,3.7,4.2,1.5,2.1,64.5,61.5,62.7,58.9,79.5,79.4,80.3,,107.1,117.7,73.5,108.9,126.6,62.7,65.2
15,1984JJ00,389163.0,209900.0,179263.0,7167.0,45147.0,13820.0,31327.0,3209.0,1358.0,9415.0,32629.0,4324.0,10499.0,10683.0,11571.0,39295.0,3966.0,14832.0,19652.0,5850.0,1030.0,194095.0,530340.0,266833.0,264185.0,5030.0,37666.0,14695.0,37270.0,3632.0,2445.0,19538.0,43478.0,5197.0,18384.0,18741.0,20968.0,73506.0,8240.0,15857.0,30647.0,3884.0,,291092.0,3.7,4.0,3.3,11.2,17.5,6.0,6.7,-6.2,-1.0,3.2,4.4,3.5,-2.6,1.5,3.4,1.2,0.9,-0.4,1.4,6.3,,3.1,73.4,78.7,67.9,142.5,119.9,94.0,84.1,88.4,55.5,48.2,75.0,83.2,57.1,57.0,55.2,53.5,48.1,93.5,64.1,150.6,,66.7,100809.0,77456.0,23353.0,15010.0,21685.0,6675.0,78276.0,26738.0,51538.0,194095.0,,,,28021.0,33723.0,4465.0,,34247.0,,291092.0,,,,-0.5,1.3,5.7,,3.0,,3.1,,,,53.6,64.3,149.5,,78.1,,66.7,183883.0,144195.0,98738.0,45457.0,39490.0,32492.0,6998.0,198.0,117596.0,97795.0,19801.0,107384.0,88662.0,18722.0,194095.0,280327.0,230191.0,153195.0,77250.0,49281.0,40633.0,8587.0,-292.0,104924.0,79161.0,26129.0,95124.0,67408.0,29075.0,291092.0,1.7,0.2,0.6,-0.6,7.2,6.7,9.8,,7.7,7.8,7.2,5.6,5.2,7.2,3.1,65.6,62.6,64.5,58.8,80.1,80.0,81.5,,112.1,123.5,75.8,112.9,131.5,64.4,66.7
16,1985JJ00,405490.0,219672.0,185818.0,7457.0,47307.0,15766.0,31541.0,3371.0,1401.0,9477.0,34123.0,4507.0,10676.0,11119.0,12307.0,39959.0,4114.0,15009.0,20653.0,6390.0,746.0,200827.0,543762.0,273439.0,271041.0,5236.0,43151.0,15376.0,38391.0,4088.0,2483.0,19779.0,44911.0,5294.0,18290.0,18797.0,21927.0,74521.0,8302.0,16238.0,31620.0,4096.0,,298603.0,2.5,2.5,2.6,4.1,14.6,4.6,3.0,12.6,1.5,1.2,3.3,1.9,-0.5,0.3,4.6,1.4,0.8,2.4,3.2,5.5,,2.6,74.6,80.3,68.6,142.4,109.6,102.5,82.2,82.5,56.4,47.9,76.0,85.1,58.4,59.2,56.1,53.6,49.6,92.4,65.3,156.0,,67.3,104641.0,80723.0,23918.0,15571.0,22749.0,7178.0,80615.0,27870.0,52745.0,200827.0,,,,28723.0,34721.0,4642.0,,35496.0,,298603.0,,,,2.5,3.0,4.0,,3.6,,2.6,,,,54.2,65.5,154.6,,78.5,,67.3,192308.0,150595.0,102920.0,47675.0,42349.0,35504.0,6845.0,-636.0,124813.0,104187.0,20626.0,116294.0,96100.0,20194.0,200827.0,288544.0,235220.0,155324.0,80271.0,53035.0,44670.0,8317.0,840.0,109600.0,83069.0,26674.0,100105.0,70998.0,30474.0,298603.0,2.9,2.2,1.4,3.9,7.6,9.9,-3.1,,4.5,4.9,2.1,5.2,5.3,4.8,2.6,66.6,64.0,66.3,59.4,79.9,79.5,82.3,,113.9,125.4,77.3,116.2,135.4,66.3,67.3
17,1986JJ00,397861.0,206779.0,191082.0,7931.0,43689.0,10284.0,33405.0,3322.0,1494.0,10128.0,37460.0,4982.0,10999.0,12144.0,13592.0,41021.0,4320.0,15779.0,22099.0,6667.0,347.0,206861.0,560199.0,283923.0,276635.0,5781.0,46563.0,13494.0,39688.0,3894.0,2471.0,20793.0,46200.0,5683.0,19011.0,19870.0,23471.0,75280.0,8227.0,18144.0,34770.0,4303.0,,306925.0,3.0,3.8,2.1,10.4,7.9,-12.2,3.4,-4.7,-0.5,5.1,2.9,7.3,3.9,5.7,7.0,1.0,-0.9,11.7,10.0,5.1,,2.8,71.0,72.8,69.1,137.2,93.8,76.2,84.2,85.3,60.5,48.7,81.1,87.7,57.9,61.1,57.9,54.5,52.5,87.0,63.6,154.9,,67.4,109164.0,84351.0,24813.0,16777.0,24251.0,7474.0,80920.0,28922.0,51998.0,206861.0,,,,31987.0,37942.0,4863.0,,37054.0,,306925.0,,,,11.4,9.3,4.8,,4.4,,2.8,,,,52.4,63.9,153.7,,78.1,,67.4,199589.0,154123.0,105189.0,48934.0,44804.0,38317.0,6487.0,662.0,108993.0,89697.0,19296.0,101721.0,83301.0,18420.0,206861.0,298027.0,240030.0,159002.0,81354.0,56645.0,48652.0,7974.0,369.0,111844.0,85342.0,26292.0,102927.0,74150.0,28983.0,306925.0,3.3,2.0,2.4,1.3,6.8,8.9,-4.1,,2.0,2.7,-1.4,2.8,4.4,-4.9,2.8,67.0,64.2,66.2,60.1,79.1,78.8,81.3,,97.5,105.1,73.4,98.8,112.3,63.6,67.4
18,1987JJ00,398163.0,205251.0,192912.0,7905.0,40752.0,6505.0,34247.0,3441.0,1421.0,10646.0,38595.0,5298.0,10846.0,12857.0,14167.0,42431.0,4553.0,15735.0,23364.0,7982.0,353.0,208647.0,572096.0,289635.0,282845.0,5713.0,52487.0,12460.0,40454.0,5037.0,2322.0,21385.0,48264.0,5954.0,18994.0,20782.0,23743.0,76462.0,8406.0,17805.0,36036.0,5021.0,,312852.0,2.1,2.0,2.2,-1.2,12.7,-7.7,1.9,29.3,-6.0,2.8,4.5,4.8,-0.1,4.6,1.2,1.6,2.2,-1.9,3.6,16.7,,1.9,69.6,70.9,68.2,138.4,77.6,52.2,84.7,68.3,61.2,49.8,80.0,89.0,57.1,61.9,59.7,55.5,54.2,88.4,64.8,159.0,,66.7,112894.0,87380.0,25514.0,16819.0,25669.0,8850.0,78934.0,30517.0,48417.0,208647.0,,,,31396.0,39267.0,5616.0,,38812.0,,312852.0,,,,-1.8,3.5,15.5,,4.7,,1.9,,,,53.6,65.4,157.6,,78.6,,66.7,203930.0,158255.0,106878.0,51377.0,45826.0,39071.0,6755.0,-151.0,107044.0,87301.0,19743.0,102327.0,83432.0,18895.0,208647.0,303217.0,246422.0,162303.0,84546.0,57472.0,49139.0,8307.0,-345.0,116078.0,88407.0,27524.0,106576.0,77114.0,29419.0,312852.0,1.7,2.7,2.1,3.9,1.5,1.0,4.2,,3.8,3.6,4.7,3.5,4.0,1.5,1.9,67.3,64.2,65.9,60.8,79.7,79.5,81.3,,92.2,98.7,71.7,96.0,108.2,64.2,66.7
19,1988JJ00,417495.0,216632.0,200863.0,8144.0,46795.0,5847.0,36084.0,3227.0,1637.0,12183.0,39985.0,5690.0,11753.0,13460.0,15224.0,42840.0,4789.0,16347.0,24167.0,7820.0,386.0,217596.0,594501.0,303081.0,291736.0,6161.0,59946.0,12228.0,41561.0,4873.0,2689.0,23974.0,50091.0,6323.0,19241.0,21152.0,25142.0,76563.0,8731.0,30540.0,37574.0,4979.0,,323624.0,3.9,4.6,3.1,7.8,14.2,-1.9,2.7,-3.3,15.8,12.1,3.8,6.2,1.3,1.8,5.9,0.1,3.9,7.1,4.3,-0.9,,3.4,70.2,71.5,68.9,132.2,78.1,47.8,86.8,66.2,60.9,50.8,79.8,90.0,61.1,63.6,60.6,56.0,54.8,53.5,64.3,157.1,,67.2,116037.0,90554.0,25483.0,17821.0,26536.0,8715.0,83738.0,32355.0,51383.0,217596.0,,,,33434.0,40876.0,5590.0,,40676.0,,323624.0,,,,6.5,4.1,-0.5,,4.8,,3.4,,,,53.3,64.9,155.9,,73.5,,67.2,212194.0,161674.0,109436.0,52238.0,50945.0,43826.0,7119.0,-425.0,116797.0,95166.0,21631.0,111395.0,88598.0,22797.0,217596.0,312731.0,249971.0,164821.0,85568.0,63103.0,54403.0,8681.0,165.0,126410.0,96466.0,29713.0,115686.0,82122.0,34602.0,323624.0,3.1,1.4,1.6,1.2,9.8,10.7,4.5,,8.9,9.1,8.0,8.5,6.5,17.6,3.4,67.9,64.7,66.4,61.0,80.7,80.6,82.0,,92.4,98.7,72.8,96.3,107.9,65.9,67.2
20,1989JJ00,448007.0,235515.0,212492.0,9327.0,49330.0,6144.0,38167.0,3311.0,1708.0,12825.0,42897.0,6161.0,12105.0,14473.0,16607.0,43730.0,5037.0,17214.0,24015.0,6801.0,571.0,230277.0,623018.0,319408.0,303873.0,6516.0,62437.0,12588.0,43466.0,4988.0,2760.0,24759.0,52715.0,6675.0,20459.0,22070.0,27234.0,77341.0,8913.0,32960.0,39054.0,4760.0,,337929.0,4.8,5.4,4.2,5.8,4.2,2.9,4.6,2.4,2.6,3.3,5.2,5.6,6.3,4.3,8.3,1.0,2.1,7.9,3.9,-4.4,,4.4,71.9,73.7,69.9,143.1,79.0,48.8,87.8,66.4,61.9,51.8,81.4,92.3,59.2,65.6,61.0,56.5,56.5,52.2,61.5,142.9,,68.1,119628.0,94712.0,24916.0,18662.0,26437.0,7775.0,91987.0,34382.0,57605.0,230277.0,,,,35743.0,42403.0,5436.0,,42535.0,,337929.0,,,,6.9,3.7,-2.8,,4.6,,4.4,,,,52.2,62.3,143.0,,80.8,,68.1,223425.0,168261.0,114809.0,53452.0,53089.0,45838.0,7251.0,2075.0,131475.0,106870.0,24605.0,124623.0,99775.0,24848.0,230277.0,324890.0,256515.0,170021.0,86846.0,65172.0,56397.0,8759.0,3266.0,137296.0,103832.0,33546.0,124711.0,89038.0,36466.0,337929.0,3.9,2.6,3.2,1.5,3.3,3.7,0.9,,8.6,7.6,12.9,7.8,8.4,5.4,4.4,68.8,65.6,67.5,61.5,81.5,81.3,82.8,,95.8,102.9,73.3,99.9,112.1,68.1,68.1
21,1990JJ00,470618.0,246786.0,223832.0,9554.0,52124.0,7391.0,39704.0,3365.0,1664.0,13146.0,45865.0,6812.0,11065.0,15431.0,18697.0,45824.0,5314.0,19007.0,25444.0,6437.0,813.0,243652.0,648744.0,333281.0,315701.0,7098.0,64415.0,13239.0,44971.0,4936.0,2692.0,24398.0,55660.0,7331.0,21469.0,22783.0,29514.0,78223.0,9103.0,35456.0,40802.0,4600.0,,352065.0,4.1,4.3,3.9,8.9,3.2,5.2,3.5,-1.0,-2.5,-1.5,5.6,9.8,4.9,3.2,8.4,1.1,2.1,7.6,4.5,-3.4,,4.2,72.5,74.0,70.9,134.6,80.9,55.8,88.3,68.2,61.8,53.9,82.4,92.9,51.5,67.7,63.4,58.6,58.4,53.6,62.4,139.9,,69.2,127116.0,109225.0,17891.0,20580.0,27976.0,7396.0,95956.0,36596.0,59360.0,243652.0,,,,38465.0,44289.0,5265.0,,44506.0,,352065.0,,,,7.6,4.4,-3.2,,4.6,,4.2,,,,53.5,63.2,140.5,,82.2,,69.2,234372.0,177223.0,121102.0,56121.0,55328.0,47500.0,7828.0,1821.0,137551.0,111679.0,25872.0,128271.0,102919.0,25352.0,243652.0,335280.0,265405.0,176890.0,88784.0,67050.0,57726.0,9303.0,3015.0,145065.0,110145.0,34832.0,129667.0,93505.0,36386.0,352065.0,3.2,3.5,4.0,2.2,2.9,2.4,6.2,,5.7,6.1,3.8,4.0,5.0,-0.2,4.2,69.9,66.8,68.5,63.2,82.5,82.3,84.1,,94.8,101.4,74.3,98.9,110.1,69.7,69.2
22,1991JJ00,497936.0,261007.0,236929.0,9811.0,54470.0,8929.0,40192.0,3580.0,1769.0,13535.0,48853.0,7163.0,12229.0,16618.0,20600.0,48062.0,5588.0,20093.0,27366.0,7273.0,353.0,257375.0,670015.0,346662.0,323489.0,7275.0,66002.0,14608.0,45316.0,5174.0,2778.0,24324.0,57664.0,7599.0,21574.0,23522.0,31304.0,78827.0,9267.0,36281.0,42242.0,4926.0,,360652.0,3.3,4.0,2.5,2.5,2.5,10.3,0.8,4.8,3.2,-0.3,3.6,3.7,0.5,3.2,6.1,0.8,1.8,2.3,3.5,7.1,,2.4,74.3,75.3,73.2,134.9,82.5,61.1,88.7,69.2,63.7,55.6,84.7,94.3,56.7,70.7,65.8,61.0,60.3,55.4,64.8,147.6,,71.4,135023.0,115946.0,19077.0,22061.0,30002.0,7941.0,100291.0,38773.0,61518.0,257375.0,,,,39968.0,45837.0,5389.0,,46302.0,,360652.0,,,,3.9,3.5,2.4,,4.0,,2.4,,,,55.2,65.5,147.4,,83.7,,71.4,246761.0,188658.0,128838.0,59820.0,56927.0,48737.0,8190.0,1176.0,147152.0,117199.0,29953.0,136538.0,107287.0,29251.0,257375.0,342407.0,272490.0,181679.0,91081.0,67897.0,58332.0,9541.0,2474.0,154651.0,116225.0,38769.0,137883.0,98559.0,40069.0,360652.0,2.1,2.7,2.7,2.6,1.3,1.1,2.6,,6.6,5.5,11.3,6.3,5.4,10.1,2.4,72.1,69.2,70.9,65.7,83.8,83.6,85.8,,95.2,100.8,77.3,99.0,108.9,73.0,71.4
23,1992JJ00,513027.0,266812.0,246215.0,9540.0,54064.0,7614.0,40846.0,3665.0,1939.0,14241.0,50895.0,7610.0,12878.0,18241.0,22013.0,50765.0,5968.0,20593.0,28112.0,7519.0,1491.0,268299.0,681094.0,353025.0,328190.0,7539.0,66196.0,14153.0,45818.0,5061.0,2889.0,24128.0,58381.0,7854.0,22701.0,24265.0,32073.0,79518.0,9430.0,37881.0,43582.0,4914.0,,366805.0,1.7,1.8,1.5,3.6,0.3,-3.1,1.1,-2.2,4.0,-0.8,1.2,3.4,5.2,3.2,2.5,0.9,1.8,4.4,3.2,-0.2,,1.7,75.3,75.6,75.0,126.6,81.7,53.8,89.1,72.4,67.1,59.0,87.2,96.9,56.7,75.2,68.6,63.8,63.3,54.4,64.5,153.0,,73.1,142980.0,122527.0,20453.0,22915.0,31030.0,8115.0,102404.0,40900.0,61504.0,268299.0,,,,41948.0,47469.0,5372.0,,48145.0,,366805.0,,,,5.0,3.6,-0.3,,4.0,,1.7,,,,54.6,65.4,151.1,,85.0,,73.1,258139.0,197593.0,133777.0,63816.0,58773.0,49945.0,8828.0,1773.0,148574.0,116612.0,31962.0,138414.0,106624.0,31790.0,268299.0,347892.0,276021.0,182979.0,93400.0,69107.0,58917.0,10153.0,3107.0,159203.0,119020.0,40727.0,141815.0,100544.0,42442.0,366805.0,1.6,1.3,0.7,2.5,1.8,1.0,6.4,,2.9,2.4,5.1,2.9,2.0,5.9,1.7,74.2,71.6,73.1,68.3,85.0,84.8,86.9,,93.3,98.0,78.5,97.6,106.0,74.9,73.1
24,1993JJ00,519935.0,267134.0,252801.0,8594.0,54545.0,7264.0,41383.0,3849.0,2049.0,14513.0,52040.0,7983.0,13677.0,19172.0,23202.0,52816.0,6259.0,23260.0,30543.0,7283.0,-48.0,276013.0,686517.0,354585.0,332063.0,7752.0,66043.0,14521.0,45492.0,5108.0,2791.0,23564.0,58766.0,7932.0,23969.0,24988.0,32736.0,80931.0,9529.0,38694.0,44570.0,5041.0,,371418.0,0.8,0.4,1.2,2.8,-0.2,2.6,-0.7,0.9,-3.4,-2.3,0.7,1.0,5.6,3.0,2.1,1.8,1.1,2.1,2.3,2.6,,1.3,75.7,75.3,76.1,110.9,82.6,50.0,91.0,75.3,73.4,61.6,88.6,100.6,57.1,76.7,70.9,65.3,65.7,60.1,68.5,144.5,,74.3,147027.0,126702.0,20325.0,25782.0,33656.0,7874.0,103204.0,42437.0,60767.0,276013.0,,,,42876.0,48462.0,5466.0,,49633.0,,371418.0,,,,2.2,2.1,1.7,,3.1,,1.3,,,,60.1,69.4,144.1,,85.5,,74.3,261029.0,204231.0,137805.0,66426.0,58302.0,49429.0,8873.0,-1504.0,150658.0,117104.0,33554.0,135674.0,103345.0,32329.0,276013.0,345228.0,279476.0,184463.0,95431.0,67976.0,57827.0,10110.0,-1169.0,165521.0,124148.0,41838.0,142374.0,101232.0,42196.0,371418.0,-0.8,1.3,0.8,2.2,-1.6,-1.9,-0.4,,4.0,4.3,2.7,0.4,0.7,-0.6,1.3,75.6,73.1,74.7,69.6,85.8,85.5,87.8,,91.0,94.3,80.2,95.3,102.1,76.6,74.3
25,1994JJ00,545755.0,281274.0,264481.0,9107.0,56338.0,7133.0,43021.0,3957.0,2227.0,14959.0,54290.0,8427.0,15394.0,20712.0,24901.0,53970.0,6383.0,24086.0,30740.0,6654.0,1481.0,290048.0,707859.0,366665.0,341340.0,7950.0,68856.0,14657.0,47912.0,5084.0,2888.0,23812.0,60985.0,8311.0,23334.0,26444.0,34616.0,80856.0,9499.0,40512.0,45968.0,4948.0,,382416.0,3.1,3.4,2.8,2.6,4.3,0.9,5.3,-0.5,3.5,1.1,3.8,4.8,-2.6,5.8,5.7,-0.1,-0.3,4.7,3.1,-1.9,,3.0,77.1,76.7,77.5,114.5,81.8,48.7,89.8,77.8,77.1,62.8,89.0,101.4,66.0,78.3,71.9,66.7,67.2,59.5,66.9,134.5,,75.8,150603.0,130352.0,20251.0,26724.0,34018.0,7294.0,112721.0,43636.0,69085.0,290048.0,,,,44684.0,49946.0,5427.0,,50919.0,,382416.0,,,,4.2,3.1,-0.7,,2.6,,3.0,,,,59.8,68.1,134.4,,85.7,,75.8,273716.0,213338.0,144084.0,69254.0,59649.0,50418.0,9231.0,729.0,164709.0,128770.0,35939.0,148377.0,114022.0,34355.0,290048.0,354974.0,285017.0,188063.0,97385.0,69361.0,58843.0,10474.0,1478.0,179871.0,136182.0,43970.0,155236.0,111965.0,43893.0,382416.0,2.8,2.0,2.0,2.0,2.0,1.8,3.6,,8.7,9.7,5.1,9.0,10.6,4.0,3.0,77.1,74.9,76.6,71.1,86.0,85.7,88.1,,91.6,94.6,81.7,95.6,101.8,78.3,75.8
26,1995JJ00,573964.0,298278.0,275686.0,9261.0,59630.0,7367.0,45714.0,4152.0,2397.0,15217.0,55801.0,8978.0,17384.0,20436.0,27191.0,55170.0,6618.0,28558.0,32666.0,4108.0,1017.0,305261.0,732536.0,381250.0,351455.0,8105.0,70957.0,14454.0,49760.0,5145.0,3033.0,23540.0,63216.0,8870.0,24329.0,27633.0,37470.0,80516.0,9718.0,42292.0,47479.0,4913.0,,394332.0,3.5,4.0,3.0,1.9,3.1,-1.4,3.9,1.2,5.0,-1.1,3.7,6.7,4.3,4.5,8.2,-0.4,2.3,4.4,3.3,-0.7,,3.1,78.4,78.2,78.4,114.3,84.0,51.0,91.9,80.7,79.0,64.6,88.3,101.2,71.5,74.0,72.6,68.5,68.1,67.5,68.8,83.6,,77.4,155837.0,133469.0,22368.0,31035.0,35973.0,4938.0,118389.0,45226.0,73163.0,305261.0,,,,46040.0,51338.0,5529.0,,52399.0,,394332.0,,,,3.0,2.8,1.9,,2.9,,3.1,,,,67.4,70.1,89.3,,86.3,,77.4,287918.0,223745.0,151058.0,72687.0,63500.0,53868.0,9632.0,673.0,181219.0,144366.0,36853.0,163876.0,126867.0,37009.0,305261.0,366572.0,292466.0,193074.0,99828.0,73446.0,62532.0,10874.0,1334.0,196435.0,151098.0,45272.0,171006.0,124683.0,46604.0,394332.0,3.3,2.6,2.7,2.5,5.9,6.3,3.8,,9.2,11.0,3.0,10.2,11.4,6.2,3.1,78.5,76.5,78.2,72.8,86.5,86.1,88.6,,92.3,95.5,81.4,95.8,101.8,79.4,77.4
27,1996JJ00,607125.0,320046.0,287079.0,9095.0,60890.0,8207.0,45732.0,4367.0,2584.0,15648.0,57596.0,10204.0,18235.0,22251.0,30392.0,55813.0,6955.0,31524.0,35010.0,3486.0,1152.0,319755.0,762986.0,401083.0,362089.0,7912.0,72743.0,15470.0,50501.0,5386.0,3168.0,23223.0,65578.0,9731.0,25530.0,28654.0,40902.0,80657.0,9878.0,45120.0,49511.0,4300.0,,407765.0,4.2,5.2,3.0,-2.4,2.5,7.0,1.5,4.7,4.5,-1.3,3.7,9.7,4.9,3.7,9.2,0.2,1.6,6.7,4.3,-12.5,,3.4,79.6,79.8,79.3,114.9,83.7,53.1,90.6,81.1,81.6,67.4,87.8,104.9,71.4,77.7,74.3,69.2,70.4,69.9,70.7,81.1,,78.4,161820.0,138394.0,23426.0,33382.0,38435.0,5053.0,124553.0,47150.0,77403.0,319755.0,,,,47814.0,53640.0,5996.0,,54285.0,,407765.0,,,,3.9,4.5,8.4,,3.6,,3.4,,,,69.8,71.7,84.3,,86.9,,78.4,302870.0,233488.0,160658.0,72830.0,69149.0,58494.0,10655.0,233.0,190674.0,150899.0,39775.0,173789.0,133461.0,40328.0,319755.0,380754.0,300272.0,201375.0,99109.0,79712.0,67737.0,11927.0,1057.0,205031.0,156787.0,48336.0,180053.0,130768.0,49725.0,407765.0,3.9,2.7,4.3,-0.7,8.5,8.3,9.7,,4.4,3.8,6.8,5.3,4.9,6.7,3.4,79.5,77.8,79.8,73.5,86.7,86.4,89.3,,93.0,96.2,82.3,96.5,102.1,81.1,78.4
