ID,MultinationalitySupplyingEnterprise,MultinationalityPurchasingEnterprise,Perioden,Total_1,ForDomesticSales_2,ForExports_3,Total_4,ForDomesticSales_5,ForExports_6,Total_7,ForDomesticSales_8,ForExports_9,Total_10,ForDomesticSales_11,ForExports_12
0,T001684,T001684,2015JJ00,233968.0,71895.2,162072.8,1338856.0,756525.4,582330.6,639388.0,410103.9,229284.1,7013.0,4922.4,2090.5
1,T001684,T001684,2016JJ00,231081.0,75393.8,155687.2,1360246.0,785560.9,574685.1,654198.0,427395.2,226802.8,7155.5,5052.3,2103.1
2,T001684,T001684,2017JJ00,254414.0,79959.4,174454.6,1431012.0,807948.9,623063.1,681550.0,439786.6,241763.4,7312.6,5114.0,2198.6
3,T001684,T001684,2018JJ00,279555.0,85569.0,193986.0,1514480.0,852359.0,662121.0,713735.0,462358.0,251377.0,7561.0,5281.4,2279.6
4,T001684,T001684,2019JJ00,276854.0,89840.2,187013.8,1569815.0,896769.2,673045.8,747606.0,486584.8,261021.2,7726.2,5400.2,2326.0
5,T001684,T001684,2020JJ00,256979.0,85362.1,171616.9,1520478.0,898728.5,621749.5,732811.0,490308.9,242502.1,7775.5,5548.9,2226.6
6,T001684,T001684,2021JJ00,290677.0,96681.0,193996.0,1673985.0,961793.8,712191.2,799741.0,521337.1,278403.9,7820.1,5564.5,2255.6
7,T001684,A052701,2015JJ00,171416.5,39287.7,132128.8,873356.0,482004.0,391352.0,404739.1,265345.8,139393.4,4464.1,3376.1,1088.0
8,T001684,A052701,2016JJ00,167522.8,42029.8,125493.1,885279.0,502789.0,382490.0,414570.8,278336.7,136234.2,4538.2,3444.4,1093.7
9,T001684,A052701,2017JJ00,184629.9,44432.0,140198.0,935964.0,519746.0,416218.0,435066.4,289650.8,145415.5,4623.9,3491.2,1132.7
10,T001684,A052701,2018JJ00,203855.0,47041.2,156813.8,993290.0,547927.0,445363.0,459222.9,306959.4,152263.5,4756.2,3580.7,1175.5
11,T001684,A052701,2019JJ00,198245.1,49395.5,148849.6,1024460.0,576425.0,448035.0,481544.7,323468.5,158076.2,4882.0,3671.7,1210.3
12,T001684,A052701,2020JJ00,185152.1,46254.6,138897.5,989790.0,575671.0,414119.0,471137.6,325210.5,145927.1,4940.8,3770.7,1170.0
13,T001684,A052701,2021JJ00,207403.2,53342.7,154060.5,1090418.0,617940.0,472478.0,517865.8,348302.0,169563.8,5008.0,3831.5,1176.5
14,T001684,A052702,2015JJ00,15393.9,10508.9,4885.0,108967.9,75178.3,33789.6,51737.6,35359.5,16378.1,606.0,416.8,189.2
15,T001684,A052702,2016JJ00,16357.0,11341.3,5015.7,117690.8,82562.2,35128.6,56225.8,39163.0,17062.8,657.7,462.6,195.1
16,T001684,A052702,2017JJ00,17836.7,12206.6,5630.1,122780.1,86104.9,36675.2,58087.0,40532.2,17554.8,675.3,477.0,198.3
17,T001684,A052702,2018JJ00,19797.3,13696.5,6100.8,133653.1,94885.5,38767.6,62501.0,44144.3,18356.7,724.6,517.1,207.5
18,T001684,A052702,2019JJ00,20946.7,14590.7,6356.0,142922.0,101784.4,41137.7,66825.0,47376.6,19448.3,751.2,537.4,213.8
19,T001684,A052702,2020JJ00,19214.1,13327.9,5886.2,136682.0,96755.4,39926.6,64405.2,45361.3,19043.9,724.3,514.1,210.2
20,T001684,A052702,2021JJ00,21560.2,14831.4,6728.7,149515.6,104037.0,45478.5,69674.6,48085.4,21589.2,727.2,507.6,219.7
21,T001684,A052703,2015JJ00,2233.9,1833.0,400.9,16944.8,13863.1,3081.6,8230.0,6708.6,1521.4,98.0,81.7,16.3
22,T001684,A052703,2016JJ00,2048.6,1724.6,324.1,15604.3,13031.9,2572.4,7603.6,6321.8,1281.8,90.7,76.9,13.7
23,T001684,A052703,2017JJ00,2456.9,2074.7,382.1,18171.7,15177.7,2994.0,8753.9,7266.7,1487.2,104.2,88.2,16.0
24,T001684,A052703,2018JJ00,2829.5,2333.5,496.0,20438.3,16749.3,3689.0,9659.1,7867.1,1792.0,114.2,94.3,19.8
25,T001684,A052703,2019JJ00,2886.5,2432.8,453.6,20737.0,17411.1,3325.9,9763.5,8144.1,1619.4,111.5,93.8,17.7
26,T001684,A052703,2020JJ00,3540.6,3078.4,462.3,26524.4,23033.4,3491.0,12460.2,10765.7,1694.6,142.6,124.7,17.9
27,T001684,A052703,2021JJ00,4364.9,3626.4,738.5,31106.3,26013.1,5093.2,14285.3,11900.3,2384.9,150.3,127.1,23.2
28,T001684,A052704,2015JJ00,3084.8,804.3,2280.5,20428.8,5533.5,14895.3,9458.7,2520.8,6937.9,109.2,29.7,79.5
29,T001684,A052704,2016JJ00,3087.4,897.8,2189.5,20535.7,6264.7,14271.0,9598.8,2867.2,6731.6,109.7,33.6,76.1
30,T001684,A052704,2017JJ00,3364.6,835.8,2528.8,21362.6,5534.2,15828.4,9968.2,2540.1,7428.1,113.0,28.9,84.1
31,T001684,A052704,2018JJ00,3474.6,844.2,2630.4,21317.3,5489.0,15828.3,9781.2,2542.4,7238.9,111.6,29.4,82.2
32,T001684,A052704,2019JJ00,3554.1,876.8,2677.3,22577.1,5826.5,16750.6,10385.6,2677.8,7707.8,115.8,30.2,85.5
33,T001684,A052704,2020JJ00,2819.7,711.4,2108.3,19121.2,5156.0,13965.2,8936.0,2407.4,6528.6,100.0,27.2,72.8
34,T001684,A052704,2021JJ00,2971.2,764.6,2206.6,19716.8,5430.4,14286.4,9089.2,2498.4,6590.7,94.4,26.5,68.0
35,T001684,A052705,2015JJ00,11577.0,4006.9,7570.1,77590.2,28562.0,49028.2,35615.9,13183.5,22432.5,412.1,156.6,255.5
36,T001684,A052705,2016JJ00,11646.5,4005.3,7641.2,76906.7,28716.6,48190.1,35204.5,13286.8,21917.6,406.5,157.4,249.1
37,T001684,A052705,2017JJ00,12862.6,4270.7,8591.9,82086.3,29332.9,52753.4,37396.2,13505.5,23890.6,426.8,158.6,268.2
38,T001684,A052705,2018JJ00,13576.1,4551.5,9024.6,82864.1,30563.9,52300.2,36787.8,13711.8,23075.9,423.0,160.9,262.1
39,T001684,A052705,2019JJ00,12752.7,4510.1,8242.6,78260.3,30689.9,47570.4,34215.7,13736.0,20479.7,377.1,154.2,222.8
40,T001684,A052705,2020JJ00,12402.3,4665.2,7737.1,82124.5,33028.9,49095.7,36711.1,14966.2,21744.9,412.5,169.4,243.1
41,T001684,A052705,2021JJ00,13325.8,5087.8,8238.1,87612.5,35673.5,51939.0,38679.0,16030.1,22648.9,403.0,168.6,234.4
42,T001684,A052706,2015JJ00,16101.7,3154.6,12947.2,99041.5,22427.1,76614.4,46732.5,11091.0,35641.4,510.6,123.0,387.5
43,T001684,A052706,2016JJ00,16506.2,3323.3,13182.9,102287.7,23803.8,78483.9,48310.2,11703.4,36606.8,531.1,131.6,399.5
44,T001684,A052706,2017JJ00,18568.5,3439.7,15128.8,108208.1,23790.1,84418.1,50632.4,11869.7,38762.6,552.8,131.1,421.7
45,T001684,A052706,2018JJ00,20462.2,3562.4,16899.9,116183.1,24070.5,92112.5,53357.6,11799.3,41558.3,585.6,131.1,454.5
46,T001684,A052706,2019JJ00,22098.6,3749.7,18348.8,126369.9,24719.8,101650.1,58317.2,11968.0,46349.1,627.4,129.6,497.8
47,T001684,A052706,2020JJ00,17613.4,2842.4,14771.0,109948.2,21495.5,88452.7,51896.9,10746.8,41150.0,560.6,117.5,443.0
48,T001684,A052706,2021JJ00,23405.6,3361.0,20044.5,133740.0,24179.0,109561.0,60878.3,11857.4,49020.9,586.1,118.9,467.3
49,T001684,A052707,2015JJ00,14160.2,12299.8,1860.4,142526.9,128957.5,13569.4,82874.1,75894.7,6979.4,813.0,738.5,74.5
50,T001684,A052707,2016JJ00,13912.5,12071.7,1840.8,141941.8,128392.7,13549.1,82684.3,75716.4,6967.9,821.6,745.7,75.9
51,T001684,A052707,2017JJ00,14694.8,12699.9,1994.8,142439.2,128263.2,14176.0,81646.0,74421.6,7224.4,816.6,739.0,77.6
52,T001684,A052707,2018JJ00,15560.2,13539.7,2020.5,146734.1,132673.7,14060.4,82425.5,75333.8,7091.7,845.7,767.9,77.9
53,T001684,A052707,2019JJ00,16370.3,14284.6,2085.8,154488.7,139912.6,14576.1,86554.5,79213.8,7340.7,861.3,783.2,78.1
54,T001684,A052707,2020JJ00,16236.8,14482.2,1754.6,156287.6,143588.3,12699.3,87264.1,80851.2,6412.9,894.8,825.2,69.6
55,T001684,A052707,2021JJ00,17646.1,15667.0,1979.1,161875.8,148520.7,13355.0,89268.9,82663.5,6605.4,851.0,784.4,66.7
56,A052702,T001684,2015JJ00,23235.4,11538.5,11696.8,328441.6,203496.0,124945.6,169888.5,104151.2,65737.3,2409.4,1597.0,812.4
57,A052702,T001684,2016JJ00,24042.0,13447.6,10594.4,341821.4,220338.1,121483.3,174622.0,111912.1,62709.9,2497.8,1689.6,808.3
58,A052702,T001684,2017JJ00,26574.2,14357.7,12216.5,361397.1,230689.1,130708.0,186569.3,118460.9,68108.4,2567.1,1713.4,853.7
59,A052702,T001684,2018JJ00,28900.7,15527.7,13373.0,388209.7,248703.7,139506.0,195536.5,124466.0,71070.5,2673.7,1790.5,883.2
60,A052702,T001684,2019JJ00,31003.1,17383.9,13619.3,411600.2,267879.9,143720.4,209400.3,135788.8,73611.6,2754.9,1861.4,893.5
61,A052702,T001684,2020JJ00,31078.5,17714.8,13363.7,415001.1,272459.2,142541.9,211815.9,139303.1,72512.8,2874.5,1966.9,907.6
62,A052702,T001684,2021JJ00,35627.7,19738.9,15888.8,464903.6,296849.1,168054.5,234817.3,150108.5,84708.8,2936.0,1978.1,957.9
63,A052702,A052701,2015JJ00,11743.1,4739.3,7003.7,160971.4,102534.1,58437.3,82095.0,51925.2,30169.9,1135.2,829.9,305.3
64,A052702,A052701,2016JJ00,12811.7,6613.3,6198.4,171645.1,115258.7,56386.4,86250.6,58141.0,28109.6,1185.0,884.9,300.1
65,A052702,A052701,2017JJ00,14524.1,7236.2,7287.8,183335.9,122047.6,61288.2,92888.1,62072.6,30815.5,1216.0,896.9,319.1
66,A052702,A052701,2018JJ00,15775.9,7695.1,8080.8,194300.5,129822.5,64478.0,96226.3,64286.6,31939.7,1247.4,924.7,322.7
67,A052702,A052701,2019JJ00,16413.6,8634.6,7779.0,208431.1,142389.0,66042.1,104245.8,71787.1,32458.7,1305.1,975.4,329.7
68,A052702,A052701,2020JJ00,16254.6,8514.7,7739.9,200765.4,137473.9,63291.5,100891.5,70270.0,30621.5,1316.4,992.5,323.9
69,A052702,A052701,2021JJ00,18476.8,9372.4,9104.4,219814.5,146821.2,72993.3,110093.5,74527.6,35565.8,1326.7,997.7,329.1
70,A052702,A052702,2015JJ00,3417.3,2513.3,904.0,47266.0,34608.8,12657.1,24142.8,17317.0,6825.9,337.7,239.8,98.0
71,A052702,A052702,2016JJ00,3480.7,2589.3,891.4,50593.3,37471.7,13121.6,25702.6,18713.6,6989.0,367.5,265.5,102.0
72,A052702,A052702,2017JJ00,3693.0,2750.7,942.3,52998.8,39751.5,13247.3,27109.6,19969.2,7140.4,377.5,275.4,102.0
73,A052702,A052702,2018JJ00,4156.7,3130.8,1026.0,59101.3,44493.7,14607.6,29557.0,21872.9,7684.1,408.0,299.3,108.7
74,A052702,A052702,2019JJ00,4679.7,3531.2,1148.5,63792.6,48292.9,15499.7,32178.2,23921.2,8257.1,426.3,314.8,111.5
75,A052702,A052702,2020JJ00,4645.4,3480.4,1165.0,64391.0,47975.8,16415.1,32558.8,23857.5,8701.3,439.2,319.0,120.2
76,A052702,A052702,2021JJ00,5253.5,3891.3,1362.2,72508.6,52649.6,19859.0,36097.9,25764.3,10333.7,457.3,324.4,132.9
77,A052702,A052703,2015JJ00,538.7,461.8,76.9,7472.0,6362.5,1109.4,3826.6,3221.6,605.0,53.6,45.5,8.2
78,A052702,A052703,2016JJ00,459.8,404.4,55.4,6765.2,5871.1,894.1,3434.6,2948.8,485.9,49.3,42.5,6.8
79,A052702,A052703,2017JJ00,550.6,485.5,65.2,8032.0,6998.3,1033.8,4080.3,3515.1,565.2,57.2,49.3,7.9
80,A052702,A052703,2018JJ00,636.5,548.5,88.1,9213.8,7859.4,1354.4,4566.9,3845.9,721.0,63.4,53.3,10.1
81,A052702,A052703,2019JJ00,697.1,614.2,82.9,9559.9,8345.3,1214.6,4742.2,4081.1,661.1,63.4,54.4,8.9
82,A052702,A052703,2020JJ00,990.0,897.5,92.4,13380.3,12000.7,1379.5,6555.6,5815.9,739.7,87.9,78.0,9.9
83,A052702,A052703,2021JJ00,1236.4,1098.0,138.3,16217.3,14183.9,2033.4,7752.8,6693.3,1059.5,96.3,82.7,13.7
84,A052702,A052704,2015JJ00,596.7,171.1,425.6,7810.5,2298.5,5512.1,4013.6,1128.2,2885.4,58.0,16.4,41.5
85,A052702,A052704,2016JJ00,553.0,187.9,365.2,7678.2,2559.8,5118.5,3928.5,1242.7,2685.9,58.1,18.6,39.6
86,A052702,A052704,2017JJ00,582.9,161.6,421.3,7847.8,2143.3,5704.6,4104.2,1078.0,3026.1,59.0,15.5,43.5
87,A052702,A052704,2018JJ00,594.5,158.3,436.2,8025.7,2269.8,5756.0,4079.1,1126.5,2952.5,58.9,16.2,42.8
88,A052702,A052704,2019JJ00,657.0,186.2,470.9,8649.8,2487.6,6162.2,4470.6,1237.7,3232.9,61.4,16.9,44.5
89,A052702,A052704,2020JJ00,572.7,164.3,408.4,7985.2,2347.7,5637.4,4141.2,1181.1,2960.0,57.8,16.3,41.5
90,A052702,A052704,2021JJ00,627.5,186.5,441.1,8841.7,2695.0,6146.7,4442.6,1305.3,3137.3,58.1,16.9,41.2
91,A052702,A052705,2015JJ00,2068.5,853.1,1215.4,29014.3,12004.0,17010.4,15026.8,6021.9,9004.9,217.2,86.4,130.8
92,A052702,A052705,2016JJ00,1947.3,839.7,1107.6,27932.3,12021.5,15910.8,14405.6,5960.4,8445.2,213.5,87.3,126.3
93,A052702,A052705,2017JJ00,2134.9,875.0,1259.9,29855.4,12444.9,17410.5,15531.8,6249.1,9282.7,224.0,88.5,135.5
94,A052702,A052705,2018JJ00,2250.1,954.0,1296.0,31074.7,13448.2,17626.5,15643.6,6509.2,9134.4,224.3,90.9,133.4
95,A052702,A052705,2019JJ00,2222.3,991.7,1230.7,28957.3,13488.3,15469.1,14590.1,6609.6,7980.5,198.3,87.5,110.8
96,A052702,A052705,2020JJ00,2443.3,1133.7,1309.7,33117.7,15223.7,17894.0,16875.2,7535.6,9339.6,235.0,101.9,133.1
97,A052702,A052705,2021JJ00,2838.6,1266.0,1572.6,37433.3,17149.7,20283.5,18713.1,8383.1,10330.0,241.3,105.4,136.0
98,A052702,A052706,2015JJ00,2343.0,542.2,1800.8,35518.7,8784.3,26734.4,19266.8,4859.8,14407.0,268.0,65.5,202.4
99,A052702,A052706,2016JJ00,2262.3,563.4,1698.8,36005.3,9402.8,26602.5,19235.3,5027.6,14207.7,277.6,70.8,206.9
100,A052702,A052706,2017JJ00,2491.0,546.2,1944.8,37553.7,9088.9,28464.7,20565.3,5156.3,15409.0,287.7,69.6,218.1
101,A052702,A052706,2018JJ00,2713.1,564.5,2148.7,41417.3,9383.3,32033.9,21892.2,5139.8,16752.4,307.5,69.8,237.8
102,A052702,A052706,2019JJ00,3254.9,665.1,2589.8,45200.7,9666.7,35533.9,24322.2,5292.1,19030.1,330.0,69.7,260.3
103,A052702,A052706,2020JJ00,2930.6,558.2,2372.4,43613.4,9236.0,34377.4,23412.3,5124.3,18288.1,320.8,68.5,252.3
104,A052702,A052706,2021JJ00,3574.5,637.2,2937.4,53532.5,10715.6,42816.9,28062.8,5802.0,22260.8,352.3,72.9,279.4
105,A052702,A052707,2015JJ00,2528.1,2257.7,270.4,40388.8,36903.8,3484.9,21516.8,19677.5,1839.3,339.6,313.5,26.2
106,A052702,A052707,2016JJ00,2527.2,2249.6,277.7,41202.0,37752.7,3449.4,21664.8,19878.1,1786.7,346.7,320.0,26.7
107,A052702,A052707,2017JJ00,2597.6,2302.5,295.2,41773.5,38214.6,3558.9,22290.0,20420.5,1869.4,345.6,318.1,27.5
108,A052702,A052707,2018JJ00,2773.8,2476.7,297.2,45076.5,41426.9,3649.6,23571.4,21685.1,1886.3,364.2,336.4,27.8
109,A052702,A052707,2019JJ00,3078.5,2761.0,317.5,47008.9,43210.1,3798.8,24851.2,22860.0,1991.1,370.4,342.6,27.8
110,A052702,A052707,2020JJ00,3241.9,2966.0,275.9,51748.1,48201.3,3546.8,27381.3,25518.7,1862.6,417.4,390.8,26.6
111,A052702,A052707,2021JJ00,3620.3,3287.6,332.7,56555.7,52634.1,3921.7,29654.7,27633.0,2021.7,403.9,378.2,25.7
112,A052703,T001684,2015JJ00,1978.4,1240.3,738.1,54916.7,37290.0,17626.7,33983.1,22343.0,11640.0,366.8,272.1,94.7
113,A052703,T001684,2016JJ00,2076.3,1323.7,752.6,50891.2,35331.8,15559.4,30686.7,20681.3,10005.4,363.6,269.8,93.8
114,A052703,T001684,2017JJ00,2244.4,1465.8,778.6,54397.1,37182.7,17214.3,32059.8,21053.8,11006.0,380.0,278.4,101.6
115,A052703,T001684,2018JJ00,2687.9,1775.1,912.8,60425.7,41451.6,18974.1,34534.8,23005.8,11529.0,411.8,296.0,115.8
116,A052703,T001684,2019JJ00,2529.4,1640.2,889.2,59956.1,40827.9,19128.2,32203.7,21228.1,10975.7,371.3,269.3,102.1
117,A052703,T001684,2020JJ00,2898.5,1851.7,1046.8,65718.8,47059.6,18659.2,31721.0,22607.2,9113.7,385.8,285.2,100.6
118,A052703,T001684,2021JJ00,3424.4,2006.3,1418.1,70238.0,48650.5,21587.6,35334.9,23452.5,11882.4,349.4,254.4,95.0
119,A052703,A052701,2015JJ00,1079.3,721.4,357.9,30143.4,23033.7,7109.7,18608.5,13770.2,4838.3,184.1,159.7,24.4
120,A052703,A052701,2016JJ00,1011.3,717.0,294.3,26329.5,20779.5,5550.1,15666.0,12016.1,3649.9,169.9,149.1,20.8
121,A052703,A052701,2017JJ00,1161.2,852.3,308.9,28922.8,22366.9,6555.9,16550.8,12173.3,4377.6,178.4,156.1,22.4
