ID,BouwactiviteitenSBI93,Grootteklasse,Perioden,TotaalMateriaalverbruik_1,TBVBouwEnBouwinstallatieAct_2,TBVHandelsactiviteiten_3,TBVOverigeActiviteiten_4,MateriaalverbruikNietTeSpecificeren_5,TotaalBetalingen_6,Constructiewerkplaatsen_7,Loodgietersbedrijven_8,ElectrotechnischeInstallBedrijven_9,CentraleVerwarmingsbedrijven_10,TimmerSchilderGlaszettersBehangbedr_11,SteengaasMuurbewerkingsbedrijven_12,AndereOnderaannemers_13,OnderaannemersNietTeSpecificeren_14
0,4500,A,1996JJ00,13246.0,9048.0,393.0,74.0,3731.0,10185.0,341.0,398.0,516.0,360.0,635.0,170.0,5379.0,2386.0
1,4500,A,1997JJ00,13825.0,9582.0,413.0,49.0,3781.0,10584.0,419.0,437.0,553.0,430.0,655.0,217.0,5875.0,1999.0
2,4500,A,1998JJ00,14801.0,10429.0,518.0,63.0,3791.0,11337.0,446.0,481.0,624.0,469.0,730.0,259.0,6481.0,1847.0
3,4500,A,1999JJ00,16728.0,11672.0,987.0,87.0,3982.0,12510.0,491.0,488.0,659.0,464.0,710.0,266.0,8133.0,1299.0
4,4500,B,1996JJ00,2624.0,,,,2624.0,1155.0,,,,,,,,1155.0
5,4500,B,1997JJ00,2563.0,,,,2563.0,1119.0,,,,,,,,1119.0
6,4500,B,1998JJ00,2511.0,,,,2511.0,1068.0,,,,,,,,1068.0
7,4500,B,1999JJ00,2601.0,,,,2601.0,995.0,,,,,,,,995.0
8,4500,H,1996JJ00,10622.0,,,,1107.0,9030.0,,,,,,,,1231.0
9,4500,H,1997JJ00,11262.0,,,,1218.0,9465.0,,,,,,,,880.0
10,4500,H,1998JJ00,12290.0,,,,1280.0,10269.0,,,,,,,,779.0
11,4500,H,1999JJ00,14127.0,,,,1381.0,11515.0,,,,,,,,304.0
12,4500,D,1996JJ00,5501.0,4246.0,118.0,31.0,1107.0,4365.0,174.0,209.0,202.0,139.0,360.0,94.0,2830.0,358.0
13,4500,D,1997JJ00,5829.0,4497.0,96.0,19.0,1218.0,4586.0,200.0,244.0,248.0,165.0,373.0,108.0,3007.0,241.0
14,4500,D,1998JJ00,6165.0,4751.0,110.0,25.0,1280.0,4830.0,191.0,260.0,288.0,210.0,411.0,142.0,3152.0,177.0
15,4500,D,1999JJ00,6827.0,5288.0,128.0,29.0,1381.0,5339.0,227.0,261.0,289.0,207.0,435.0,152.0,3597.0,171.0
16,4500,E,1996JJ00,5121.0,4803.0,276.0,43.0,0.0,4664.0,167.0,189.0,314.0,221.0,275.0,76.0,2549.0,873.0
17,4500,E,1997JJ00,5433.0,5086.0,318.0,30.0,0.0,4878.0,219.0,192.0,304.0,265.0,282.0,108.0,2868.0,639.0
18,4500,E,1998JJ00,6125.0,5679.0,408.0,38.0,0.0,5438.0,255.0,221.0,337.0,259.0,319.0,117.0,3329.0,603.0
19,4500,E,1999JJ00,7301.0,6384.0,859.0,58.0,0.0,6176.0,264.0,227.0,370.0,257.0,275.0,114.0,4536.0,133.0
20,4510,A,1996JJ00,142.0,74.0,7.0,3.0,59.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,55.0
21,4510,A,1997JJ00,163.0,87.0,12.0,4.0,60.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,55.0
22,4510,A,1998JJ00,184.0,112.0,12.0,4.0,56.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,49.0
23,4510,A,1999JJ00,186.0,105.0,15.0,5.0,60.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,50.0
24,4510,B,1996JJ00,59.0,,,,59.0,55.0,,,,,,,,55.0
25,4510,B,1997JJ00,60.0,,,,60.0,55.0,,,,,,,,55.0
26,4510,B,1998JJ00,56.0,,,,56.0,49.0,,,,,,,,49.0
27,4510,B,1999JJ00,60.0,,,,60.0,50.0,,,,,,,,50.0
28,4510,H,1996JJ00,83.0,,,,0.0,123.0,,,,,,,,0.0
29,4510,H,1997JJ00,103.0,,,,0.0,141.0,,,,,,,,0.0
30,4510,H,1998JJ00,128.0,,,,0.0,177.0,,,,,,,,0.0
31,4510,H,1999JJ00,126.0,,,,0.0,205.0,,,,,,,,0.0
32,4510,D,1996JJ00,,,,,,,,,,,,,,
33,4510,D,1997JJ00,,,,,,,,,,,,,,
34,4510,D,1998JJ00,,,,,,,,,,,,,,
35,4510,D,1999JJ00,,,,,,,,,,,,,,
36,4510,E,1996JJ00,,,,,,,,,,,,,,
37,4510,E,1997JJ00,,,,,,,,,,,,,,
38,4510,E,1998JJ00,,,,,,,,,,,,,,
39,4510,E,1999JJ00,,,,,,,,,,,,,,
40,4520,A,1996JJ00,7685.0,6353.0,86.0,47.0,1199.0,8814.0,326.0,363.0,371.0,261.0,514.0,141.0,4838.0,2001.0
41,4520,A,1997JJ00,8148.0,6902.0,64.0,30.0,1152.0,9140.0,400.0,402.0,405.0,309.0,524.0,189.0,5299.0,1612.0
42,4520,A,1998JJ00,8550.0,7340.0,70.0,41.0,1099.0,9700.0,433.0,441.0,458.0,369.0,584.0,220.0,5770.0,1426.0
43,4520,A,1999JJ00,9710.0,8383.0,82.0,66.0,1179.0,10727.0,476.0,450.0,449.0,364.0,560.0,229.0,7332.0,866.0
44,4520,B,1996JJ00,1199.0,,,,1199.0,923.0,,,,,,,,923.0
45,4520,B,1997JJ00,1152.0,,,,1152.0,886.0,,,,,,,,886.0
46,4520,B,1998JJ00,1099.0,,,,1099.0,812.0,,,,,,,,812.0
47,4520,B,1999JJ00,1179.0,,,,1179.0,729.0,,,,,,,,729.0
48,4520,H,1996JJ00,6486.0,,,,0.0,7891.0,,,,,,,,1078.0
49,4520,H,1997JJ00,6996.0,,,,0.0,8254.0,,,,,,,,726.0
50,4520,H,1998JJ00,7451.0,,,,0.0,8888.0,,,,,,,,614.0
51,4520,H,1999JJ00,8531.0,,,,0.0,9998.0,,,,,,,,137.0
52,4520,D,1996JJ00,3367.0,3275.0,74.0,18.0,0.0,3709.0,172.0,199.0,183.0,114.0,262.0,75.0,2498.0,205.0
53,4520,D,1997JJ00,3536.0,3471.0,52.0,12.0,0.0,3870.0,194.0,235.0,226.0,144.0,264.0,92.0,2630.0,86.0
54,4520,D,1998JJ00,3656.0,3583.0,57.0,16.0,0.0,4015.0,189.0,248.0,256.0,185.0,289.0,115.0,2724.0,10.0
55,4520,D,1999JJ00,4109.0,4025.0,66.0,17.0,0.0,4429.0,223.0,250.0,242.0,188.0,312.0,125.0,3085.0,4.0
56,4520,E,1996JJ00,3119.0,3078.0,12.0,29.0,0.0,4182.0,154.0,165.0,187.0,147.0,252.0,65.0,2340.0,873.0
57,4520,E,1997JJ00,3460.0,3431.0,11.0,18.0,0.0,4384.0,206.0,167.0,180.0,165.0,260.0,98.0,2669.0,639.0
58,4520,E,1998JJ00,3795.0,3757.0,13.0,25.0,0.0,4872.0,244.0,192.0,202.0,184.0,295.0,105.0,3046.0,603.0
59,4520,E,1999JJ00,4422.0,4358.0,15.0,49.0,0.0,5569.0,253.0,200.0,207.0,177.0,248.0,104.0,4246.0,133.0
60,453A,A,1996JJ00,4337.0,2073.0,272.0,0.0,1991.0,732.0,13.0,34.0,145.0,98.0,16.0,8.0,219.0,201.0
61,453A,A,1997JJ00,4429.0,2037.0,314.0,0.0,2076.0,769.0,15.0,34.0,147.0,119.0,17.0,8.0,229.0,200.0
62,453A,A,1998JJ00,4871.0,2353.0,412.0,3.0,2103.0,847.0,12.0,39.0,165.0,98.0,12.0,6.0,288.0,226.0
63,453A,A,1999JJ00,5620.0,2562.0,857.0,3.0,2198.0,939.0,15.0,37.0,208.0,99.0,11.0,6.0,320.0,243.0
64,453A,B,1996JJ00,884.0,,,,884.0,49.0,,,,,,,,49.0
65,453A,B,1997JJ00,859.0,,,,859.0,46.0,,,,,,,,46.0
66,453A,B,1998JJ00,824.0,,,,824.0,59.0,,,,,,,,59.0
67,453A,B,1999JJ00,816.0,,,,816.0,76.0,,,,,,,,76.0
68,453A,H,1996JJ00,3453.0,,,,1107.0,683.0,,,,,,,,152.0
69,453A,H,1997JJ00,3570.0,,,,1217.0,723.0,,,,,,,,154.0
70,453A,H,1998JJ00,4047.0,,,,1279.0,788.0,,,,,,,,167.0
71,453A,H,1999JJ00,4804.0,,,,1382.0,863.0,,,,,,,,167.0
72,453A,D,1996JJ00,1525.0,410.0,8.0,0.0,1107.0,255.0,1.0,10.0,19.0,24.0,4.0,0.0,46.0,152.0
73,453A,D,1997JJ00,1663.0,437.0,9.0,0.0,1218.0,272.0,2.0,8.0,23.0,20.0,3.0,0.0,63.0,154.0
74,453A,D,1998JJ00,1795.0,496.0,16.0,3.0,1280.0,281.0,2.0,11.0,30.0,23.0,2.0,0.0,46.0,166.0
75,453A,D,1999JJ00,2009.0,611.0,14.0,3.0,1381.0,329.0,4.0,10.0,46.0,19.0,2.0,1.0,79.0,167.0
76,453A,E,1996JJ00,1928.0,1664.0,264.0,0.0,0.0,429.0,12.0,24.0,126.0,74.0,12.0,8.0,172.0,0.0
77,453A,E,1997JJ00,1907.0,1601.0,306.0,0.0,0.0,452.0,13.0,25.0,125.0,100.0,14.0,8.0,166.0,0.0
78,453A,E,1998JJ00,2253.0,1857.0,396.0,0.0,0.0,506.0,,28.0,134.0,75.0,10.0,6.0,242.0,0.0
79,453A,E,1999JJ00,2794.0,1951.0,843.0,0.0,0.0,535.0,11.0,26.0,162.0,80.0,10.0,5.0,241.0,0.0
80,4531,A,1996JJ00,1422.0,706.0,20.0,0.0,696.0,247.0,8.0,16.0,63.0,21.0,7.0,4.0,80.0,49.0
81,4531,A,1997JJ00,1465.0,709.0,22.0,0.0,733.0,263.0,9.0,18.0,64.0,19.0,8.0,4.0,92.0,50.0
82,4531,A,1998JJ00,1557.0,788.0,31.0,0.0,738.0,259.0,5.0,14.0,68.0,14.0,5.0,3.0,90.0,61.0
83,4531,A,1999JJ00,1815.0,1001.0,27.0,0.0,787.0,292.0,5.0,10.0,96.0,11.0,4.0,2.0,100.0,64.0
84,4531,B,1996JJ00,309.0,,,,309.0,17.0,,,,,,,,17.0
85,4531,B,1997JJ00,297.0,,,,297.0,14.0,,,,,,,,14.0
86,4531,B,1998JJ00,280.0,,,,280.0,16.0,,,,,,,,16.0
87,4531,B,1999JJ00,288.0,,,,288.0,17.0,,,,,,,,17.0
88,4531,H,1996JJ00,1113.0,,,,387.0,230.0,,,,,,,,32.0
89,4531,H,1997JJ00,1168.0,,,,436.0,249.0,,,,,,,,36.0
90,4531,H,1998JJ00,1277.0,,,,458.0,243.0,,,,,,,,45.0
91,4531,H,1999JJ00,1527.0,,,,499.0,275.0,,,,,,,,47.0
92,4531,D,1996JJ00,545.0,151.0,6.0,0.0,388.0,64.0,0.0,0.0,10.0,5.0,0.0,0.0,16.0,32.0
93,4531,D,1997JJ00,599.0,155.0,7.0,0.0,437.0,72.0,0.0,1.0,12.0,1.0,0.0,0.0,22.0,37.0
94,4531,D,1998JJ00,659.0,190.0,10.0,0.0,458.0,78.0,0.0,1.0,15.0,1.0,0.0,0.0,15.0,45.0
95,4531,D,1999JJ00,806.0,296.0,11.0,0.0,499.0,105.0,0.0,1.0,29.0,0.0,0.0,0.0,28.0,47.0
96,4531,E,1996JJ00,569.0,555.0,14.0,0.0,0.0,167.0,8.0,16.0,52.0,17.0,7.0,4.0,64.0,0.0
97,4531,E,1997JJ00,569.0,555.0,15.0,0.0,0.0,177.0,9.0,17.0,52.0,18.0,8.0,4.0,70.0,0.0
98,4531,E,1998JJ00,619.0,598.0,20.0,0.0,0.0,166.0,5.0,12.0,52.0,13.0,5.0,3.0,75.0,0.0
99,4531,E,1999JJ00,721.0,705.0,16.0,0.0,0.0,170.0,4.0,10.0,67.0,11.0,4.0,2.0,72.0,0.0
100,4532,A,1996JJ00,146.0,67.0,7.0,0.0,72.0,74.0,0.0,0.0,0.0,0.0,8.0,3.0,45.0,18.0
101,4532,A,1997JJ00,161.0,82.0,8.0,0.0,71.0,93.0,0.0,0.0,0.0,0.0,7.0,3.0,61.0,21.0
102,4532,A,1998JJ00,142.0,63.0,6.0,0.0,72.0,67.0,0.0,0.0,0.0,0.0,5.0,3.0,39.0,21.0
103,4532,A,1999JJ00,143.0,65.0,5.0,0.0,72.0,65.0,2.0,0.0,0.0,0.0,5.0,3.0,36.0,20.0
104,4532,B,1996JJ00,34.0,,,,34.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
105,4532,B,1997JJ00,34.0,,,,34.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
106,4532,B,1998JJ00,28.0,,,,28.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
107,4532,B,1999JJ00,23.0,,,,23.0,6.0,,,,,,,,6.0
108,4532,H,1996JJ00,112.0,,,,38.0,69.0,0.0,0.0,0.0,0.0,8.0,3.0,45.0,13.0
109,4532,H,1997JJ00,127.0,,,,37.0,86.0,0.0,0.0,0.0,0.0,7.0,3.0,61.0,14.0
110,4532,H,1998JJ00,114.0,,,,44.0,60.0,0.0,0.0,0.0,0.0,5.0,3.0,39.0,14.0
111,4532,H,1999JJ00,120.0,,,,49.0,59.0,,,,,,,,14.0
112,4532,D,1996JJ00,59.0,20.0,0.0,0.0,39.0,25.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,13.0
113,4532,D,1997JJ00,64.0,27.0,0.0,0.0,37.0,27.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,15.0
114,4532,D,1998JJ00,52.0,8.0,0.0,0.0,44.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,14.0
