ID,Periode,Totaal_1,KredietMetVasteLooptijd_2,DoorlopendeKredietfaciliteiten_3,Totaal_4,KredietMetVasteLooptijd_5,DoorlopendeKredietfaciliteiten_6,Totaal_7,KredietMetVasteLooptijd_8,DoorlopendeKredietfaciliteiten_9,Totaal_10,KredietMetVasteLooptijd_11,DoorlopendeKredietfaciliteiten_12,Totaal_13,KredietMetVasteLooptijd_14,DoorlopendeKredietfaciliteiten_15,Totaal_16,KredietMetVasteLooptijd_17,DoorlopendeKredietfaciliteiten_18,Totaal_19,VasteGeldleningen_20,DoorlopendGeldkrediet_21,SomDerToegezegdeLimieten_22,Totaal_23,VasteGeldleningen_24,DoorlopendGeldkrediet_25,SomDerToegezegdeLimieten_26,Totaal_27,VasteGeldleningen_28,VastGoederenkrediet_29,DoorlopendGeldkrediet_30,SomDerToegezegdeLimieten_31,Totaal_32,SomDerToegezegdeLimieten_33,Totaal_34,SomDerToegezegdeLimieten_35,Totaal_36,KredietenMetVasteLooptijd_37,DoorlopendeKredietfaciliteiten_38,SomDerToegezegdeLimieten_39,Totaal_40,VasteGeldleningen_41,DoorlopendGeldkrediet_42,SomDerToegezegdeLimieten_43,Totaal_44,VasteGeldleningen_45,DoorlopendGeldkrediet_46,SomDerToegezegdeLimieten_47,Totaal_48,VasteGeldleningen_49,VastGoederenkrediet_50,DoorlopendGeldkrediet_51,SomDerToegezegdeLimieten_52,Totaal_53,SomDerToegezegdeLimieten_54,Totaal_55,SomDerToegezegdeLimieten_56,Totaal_57,KredietenMetVasteLooptijd_58,DoorlopendeKredietfaciliteiten_59,SomDerToegezegdeLimieten_60,Totaal_61,VasteGeldleningen_62,DoorlopendGeldkrediet_63,Totaal_64,VasteGeldleningen_65,DoorlopendGeldkrediet_66,Totaal_67,VasteGeldleningen_68,VastGoederenkrediet_69,DoorlopendGeldkrediet_70,Postorderbedrijven_71,CreditCardOrganisaties_72,Totaal_73,KredietenMetVasteLooptijd_74,DoorlopendeKredietfaciliteiten_75,Totaal_76,VasteGeldleningen_77,DoorlopendGeldkrediet_78,Totaal_79,VasteGeldleningen_80,DoorlopendGeldkrediet_81,Totaal_82,VasteGeldleningen_83,VastGoederenkrediet_84,DoorlopendGeldkrediet_85,Postorderbedrijven_86,CreditCardOrganisaties_87,Totaal_88,KredietenMetVasteLooptijd_89,DoorlopendeKredietfaciliteiten_90,TotaalGemeentelijkeKredietbanken_91,TotaalBanken_92,TotaalFinancieringsmaatschappijen_93,TotaalAlleMaatschappijen_94,TotaalGemeentelijkeKredietbanken_95,TotaalBanken_96,TotaalFinancieringsmaatschappijen_97,TotaalAlleMaatschappijen_98
27,1995MM04,9853,3537,6317,482,131,352,577,166,411,94,35,59,522,163,359,9908,3539,6369,393,335,57,76,3994,933,3062,5153,5004,1530,741,2733,3794,325,2250,193,2511,9908,3539,6369,13784,188,177,11,11,866,188,677,748,877,253,140,484,573,896,3093,702,2108,3529,759,2770,6533,16,14,2,190,35,154,196,48,34,115,25,54,482,131,352,20,16,3,226,45,181,245,64,41,140,30,57,577,166,411,14,35,48,97,5,6,7,18
28,1995MM05,9908,3539,6369,523,134,389,620,169,451,97,35,61,611,182,429,9917,3526,6391,390,333,57,77,3991,929,3062,5181,5019,1517,747,2755,3818,325,2271,191,2520,9917,3526,6391,13867,190,179,11,11,860,187,674,749,867,249,135,483,572,894,3115,699,2110,3510,750,2760,6556,19,15,3,194,37,157,214,47,35,132,29,68,523,134,389,22,19,4,231,46,184,262,61,43,157,35,70,620,169,451,15,37,47,98,6,6,7,20
29,1995MM06,9917,3526,6391,507,136,371,603,172,432,96,36,60,602,173,428,9919,3524,6395,389,332,57,78,3979,923,3056,5223,5046,1506,763,2777,3877,315,2288,189,2540,9919,3524,6395,14005,189,178,11,11,862,185,677,759,873,246,141,487,572,851,3128,691,2124,3466,749,2716,6593,23,18,5,182,34,147,218,45,38,135,17,66,507,136,371,27,21,5,218,44,174,267,59,48,161,22,69,603,172,432,18,34,45,97,7,6,7,20
30,1995MM07,9919,3524,6395,526,131,395,619,165,454,93,34,59,596,176,420,9942,3513,6430,389,330,59,79,3978,918,3060,5324,5074,1493,772,2808,3908,312,2294,190,2544,9942,3513,6430,14148,188,177,11,11,855,183,672,761,869,240,140,488,569,851,3146,682,2123,3446,741,2705,6609,20,17,4,186,34,152,221,44,36,142,25,72,526,131,395,24,20,4,221,43,177,270,57,45,168,30,74,619,165,454,17,34,44,94,7,6,7,20
31,1995MM08,9942,3513,6430,566,135,431,659,171,489,93,35,58,610,188,422,9991,3495,6496,389,329,60,80,4000,915,3086,5274,5102,1479,772,2851,3953,315,2398,185,2552,9991,3495,6496,14258,188,177,11,11,853,182,670,766,866,236,139,491,568,876,3298,673,2120,3455,735,2721,6764,21,17,4,208,39,169,231,47,33,152,26,79,566,135,431,25,20,5,243,49,195,278,62,40,177,31,82,659,171,489,17,39,47,103,7,7,7,22
32,1995MM09,9991,3495,6496,572,131,441,663,165,498,92,34,57,581,188,393,10074,3472,6602,389,328,61,82,4030,913,3117,5312,5129,1464,767,2897,4000,319,2421,207,2554,10074,3472,6602,14368,184,173,11,11,855,182,673,772,864,232,138,493,567,883,3338,679,2125,3466,726,2740,6813,20,15,4,211,39,172,231,45,31,155,29,81,572,131,441,23,19,5,245,49,196,278,59,38,180,34,83,663,165,498,15,39,45,99,7,7,7,21
33,1995MM10,10074,3472,6602,602,141,461,695,176,520,93,34,59,656,220,437,10112,3428,6685,388,326,61,82,4060,910,3150,5352,5134,1427,765,2942,4050,323,2425,208,2560,10112,3428,6685,14470,188,177,11,11,853,181,671,775,864,230,137,498,566,896,3342,687,2136,3488,725,2763,6831,21,17,4,224,39,185,253,46,39,168,33,71,602,141,461,25,20,4,259,49,211,300,59,47,193,38,74,695,176,520,17,39,46,102,7,7,7,21
34,1995MM11,10112,3428,6685,606,143,462,698,180,518,92,37,56,639,194,445,10171,3414,6758,388,326,62,83,4087,905,3182,5384,5161,1407,776,2979,4060,323,2361,212,2579,10171,3414,6758,14467,188,177,11,11,856,181,675,781,863,226,137,501,565,885,3235,682,2154,3474,720,2754,6747,22,18,4,230,40,190,260,48,37,174,25,70,606,143,462,25,21,5,264,49,214,306,63,46,197,30,74,698,180,518,18,40,48,106,8,7,7,22
35,1995MM12,10171,3414,6758,510,112,398,593,140,452,83,28,54,635,217,418,10129,3337,6792,386,323,63,84,4093,886,3207,5419,5113,1384,743,2985,4062,321,2366,216,2585,10129,3337,6792,14517,185,173,12,12,848,176,672,783,856,222,135,500,560,865,3186,676,2154,3431,707,2724,6694,16,13,3,216,38,178,187,37,24,125,23,69,510,112,398,20,15,4,249,46,202,226,48,29,148,27,71,593,140,452,13,38,37,88,5,6,6,17
36,1996MM01,10129,3337,6792,560,140,420,655,176,479,95,35,60,668,205,463,10116,3308,6809,385,321,64,87,4100,884,3216,5451,5093,1360,743,2991,4119,325,2345,213,2591,10116,3308,6809,14593,187,175,12,12,837,176,661,787,855,219,137,499,552,898,3158,677,2162,3453,707,2746,6671,19,15,4,215,42,174,229,44,39,146,32,65,560,140,420,22,18,4,252,54,198,274,57,47,170,36,71,655,176,479,15,42,44,102,6,8,7,21
37,1996MM02,10116,3308,6809,538,138,400,628,171,457,90,33,57,611,171,440,10133,3308,6825,385,320,64,88,4110,885,3225,5487,5100,1355,747,2997,4146,328,2337,211,2592,10133,3308,6825,14649,187,175,12,12,841,177,664,792,852,214,137,502,554,906,3132,667,2171,3453,702,2751,6661,19,15,4,205,40,165,226,44,39,143,28,61,538,138,400,23,19,4,238,49,189,269,57,46,165,32,66,628,171,457,15,40,44,99,6,8,7,20
38,1996MM03,10133,3308,6825,590,150,440,680,185,495,89,35,54,647,192,455,10166,3301,6865,386,321,65,87,4132,891,3241,5526,5105,1342,747,3016,4153,328,2329,215,2585,10166,3301,6865,14680,184,172,12,12,841,177,665,795,859,215,136,508,558,881,3098,662,2164,3428,700,2728,6628,21,17,4,239,48,190,233,53,32,149,27,70,590,150,440,25,20,5,272,59,213,276,67,39,170,31,75,680,185,495,17,48,53,118,7,9,8,23
39,1996MM04,10166,3301,6865,600,140,460,688,173,515,88,33,55,632,180,452,10223,3294,6929,388,321,67,90,4174,894,3281,5566,5119,1331,748,3039,4181,328,2319,214,2590,10223,3294,6929,14745,185,173,12,12,847,177,670,800,858,213,134,510,559,876,3058,667,2174,3433,697,2736,6603,20,15,5,236,42,195,242,49,34,159,28,74,600,140,460,23,18,5,269,51,218,284,62,42,181,33,79,688,173,515,15,42,49,105,6,7,7,21
40,1996MM05,10223,3294,6929,601,143,458,693,176,517,92,32,59,645,170,475,10271,3300,6971,385,318,68,91,4188,898,3291,5605,5148,1332,753,3063,4218,334,2305,216,2530,10271,3300,6971,14751,184,172,12,12,854,178,676,802,863,212,134,516,563,898,3012,659,2134,3458,696,2763,6523,19,15,4,241,45,196,236,46,37,152,27,79,601,143,458,22,17,5,274,55,219,280,59,44,177,32,85,693,176,517,15,45,46,106,6,8,7,21
41,1996MM06,10271,3300,6971,529,137,393,620,169,451,91,33,59,654,173,481,10238,3296,6942,386,318,68,93,4167,900,3267,5635,5142,1328,750,3064,4230,328,2288,215,2559,10238,3296,6942,14806,184,172,12,12,851,177,674,806,867,212,134,520,564,872,2960,661,2157,3435,696,2738,6499,18,15,4,202,39,163,213,46,37,130,22,74,529,137,393,21,17,5,233,48,186,259,61,44,155,27,80,620,169,451,15,39,46,100,6,7,7,20
42,1996MM07,10238,3296,6942,629,156,473,722,190,532,93,34,59,688,185,503,10271,3300,6971,387,318,69,95,4184,903,3281,5661,5161,1331,749,3081,4261,323,2265,217,2576,10271,3300,6971,14858,183,170,13,13,853,178,675,808,872,214,134,525,567,856,2915,644,2171,3408,695,2712,6474,22,17,5,241,46,195,242,54,39,150,24,99,629,156,473,26,20,5,275,56,218,288,67,46,175,29,105,722,190,532,18,46,54,117,7,8,8,24
43,1996MM08,10271,3300,6971,603,142,460,694,174,520,92,32,60,610,172,439,10355,3302,7053,389,318,71,97,4219,907,3313,5703,5185,1333,745,3107,4280,329,2253,232,2614,10355,3302,7053,14947,183,170,13,13,857,179,678,814,875,212,133,530,571,878,2879,646,2209,3440,694,2745,6485,20,16,5,235,45,189,226,49,32,145,29,92,603,142,460,24,19,5,268,55,213,270,62,38,170,34,98,694,174,520,16,45,49,110,6,8,7,22
44,1996MM09,10355,3302,7053,627,138,489,718,170,548,90,31,59,624,174,450,10449,3298,7151,390,318,72,98,4268,911,3358,5751,5217,1330,740,3147,4327,337,2246,236,2617,10449,3298,7151,15040,181,168,13,13,863,180,683,819,879,212,132,535,574,901,2846,655,2215,3479,692,2787,6467,20,15,5,251,46,205,234,47,30,157,35,88,627,138,489,23,18,5,285,56,229,277,60,36,182,40,92,718,170,548,15,46,47,108,7,9,7,23
45,1996MM10,10449,3298,7151,688,156,532,786,191,596,98,34,64,700,194,506,10535,3294,7241,390,317,74,100,4322,916,3406,5822,5230,1311,751,3168,4354,339,2238,254,2616,10535,3294,7241,15130,181,167,13,13,869,180,690,828,881,209,132,540,579,901,2809,683,2231,3514,687,2827,6460,21,16,5,271,49,222,263,51,39,172,34,99,688,156,532,25,20,5,306,60,246,309,65,47,197,39,108,786,191,596,16,49,51,116,7,9,8,23
46,1996MM11,10535,3294,7241,663,156,507,759,191,568,96,35,62,673,187,485,10622,3298,7324,390,316,74,101,4371,913,3458,5892,5266,1316,754,3196,4389,343,2211,251,2616,10622,3298,7324,15209,180,166,14,14,878,181,697,836,878,208,132,538,575,905,2765,667,2236,3508,687,2821,6426,20,15,5,290,54,236,246,52,34,160,28,79,663,156,507,24,18,5,326,66,260,291,65,41,185,33,85,759,191,568,15,54,52,121,7,10,8,24
47,1996MM12,10622,3298,7324,598,111,487,685,137,548,87,26,61,668,168,500,10638,3266,7372,389,314,75,102,4396,901,3495,5938,5256,1302,748,3205,4404,339,2145,259,2632,10638,3266,7372,15221,179,166,14,14,878,179,698,840,879,207,130,542,576,871,2709,677,2200,3483,682,2801,6339,18,14,4,262,37,226,205,39,21,145,26,86,598,111,487,21,16,5,295,45,250,245,50,26,169,31,93,685,137,548,14,37,39,90,6,7,7,20
48,1997MM01,10638,3266,7372,652,152,499,741,184,556,89,32,57,664,176,488,10715,3275,7440,402,311,90,106,4997,994,4003,6712,4713,1216,754,2743,3729,339,2142,264,2640,10715,3275,7440,15330,180,166,14,14,1021,197,824,965,754,188,132,434,467,879,2721,676,2244,3510,683,2828,6411,20,15,5,262,43,219,261,52,43,166,34,76,652,152,499,23,17,5,298,53,245,302,64,50,187,39,80,741,184,556,15,43,52,109,6,9,8,23
49,1997MM02,10715,3275,7440,624,142,482,716,177,539,91,34,57,648,183,465,10782,3269,7514,399,309,90,107,5016,990,4025,6773,4761,1213,756,2791,3788,340,2139,267,2642,10782,3269,7514,15449,182,167,14,14,1022,195,827,969,764,188,134,442,476,883,2746,671,2241,3522,684,2838,6447,17,13,4,252,45,207,256,49,36,172,30,71,624,142,482,20,15,5,288,58,231,300,61,43,196,34,74,716,177,539,13,45,49,106,5,8,8,21
50,1997MM03,10782,3269,7514,650,146,504,741,178,563,91,32,59,640,168,472,10883,3279,7605,398,309,90,110,5054,992,4062,6830,4802,1208,770,2824,3816,347,2140,281,2648,10883,3279,7605,15544,181,167,15,15,1027,196,830,974,774,187,138,449,482,908,2762,688,2244,3578,688,2889,6477,19,15,4,261,45,216,259,48,39,172,33,80,650,146,504,22,17,5,295,54,241,305,59,48,198,38,83,741,178,563,15,45,48,107,6,8,7,22
51,1997MM04,10883,3279,7605,722,164,559,817,200,617,95,36,59,746,189,556,10955,3289,7665,398,308,90,114,5085,994,4091,6885,4845,1203,784,2857,3873,348,2140,280,2655,10955,3289,7665,15667,182,167,15,15,1029,197,832,979,785,186,141,457,489,903,2778,681,2242,3579,691,2888,6503,20,16,5,293,49,244,289,52,46,190,36,84,722,164,559,24,19,5,328,60,268,338,66,55,216,41,87,817,200,617,16,49,52,118,7,9,8,24
52,1997MM05,10955,3289,7665,646,138,508,733,169,565,88,31,56,712,170,543,10976,3289,7687,395,306,89,114,5072,990,4082,6911,4867,1207,786,2873,3921,348,2145,295,2672,10976,3289,7687,15763,181,166,15,15,1029,196,833,980,796,186,143,466,498,890,2791,678,2197,3573,691,2882,6481,18,14,4,266,43,223,241,41,40,160,27,94,646,138,508,21,16,5,300,53,247,284,52,48,184,32,98,733,169,565,14,43,41,98,6,8,7,20
53,1997MM06,10976,3289,7687,634,150,485,722,185,537,88,35,53,718,193,525,10981,3281,7699,394,306,88,118,5062,989,4073,6959,4882,1197,789,2896,3961,343,2145,300,2669,10981,3281,7699,15852,180,164,15,15,1035,196,839,985,803,185,143,475,506,872,2806,678,2187,3568,689,2879,6499,20,16,4,273,52,221,223,38,44,141,26,93,634,150,485,24,19,5,309,64,245,264,49,52,162,31,95,722,185,537,16,52,38,106,6,9,6,21
54,1997MM07,10981,3281,7699,757,161,596,852,199,653,95,38,57,761,188,573,11071,3292,7779,393,305,88,119,5126,997,4129,7054,4907,1192,799,2917,3976,342,2193,302,2690,11071,3292,7779,16032,179,164,15,15,1044,198,846,994,808,184,145,478,509,880,2818,663,2198,3574,692,2882,6535,21,16,5,324,55,269,258,44,46,168,31,123,757,161,596,24,19,5,363,69,295,302,57,54,190,36,126,852,199,653,16,55,44,115,7,10,7,23
55,1997MM08,11071,3292,7779,663,128,535,753,161,593,90,32,58,668,173,495,11157,3279,7877,392,304,88,121,5174,997,4178,7122,4931,1179,800,2951,3984,344,2194,316,2704,11157,3279,7877,16125,179,163,16,16,1042,196,847,998,813,182,147,484,514,874,2838,667,2206,3575,688,2887,6572,19,14,5,294,47,246,215,35,32,147,27,109,663,128,535,22,16,5,334,59,275,254,47,39,168,32,112,753,161,593,14,47,35,97,6,8,5,19
56,1997MM09,11157,3279,7877,736,137,599,832,172,661,97,34,62,697,181,516,11291,3269,8022,392,303,89,124,5229,997,4231,7193,4971,1168,801,3002,4028,355,2195,345,2712,11291,3269,8022,16252,178,162,16,16,1044,195,849,1002,822,181,148,493,521,935,2876,690,2219,3670,686,2984,6635,20,15,5,323,53,270,244,36,34,174,38,109,736,137,599,23,17,6,367,65,302,285,48,41,196,43,113,832,172,661,15,53,36,103,6,9,5,20
57,1997MM10,11291,3269,8022,781,149,633,879,186,693,98,37,61,751,185,566,11419,3270,8149,389,300,89,128,5293,999,4294,7250,5015,1164,808,3043,4076,357,2198,365,2715,11419,3270,8149,16367,180,163,17,17,1052,195,857,1011,833,180,150,503,536,945,2916,726,2222,3736,688,3048,6701,20,15,5,346,54,292,261,39,40,182,36,116,781,149,633,24,18,6,388,67,321,305,52,49,204,41,119,879,186,693,15,54,39,108,6,9,6,21
58,1997MM11,11419,3270,8149,678,130,548,770,162,608,92,32,59,679,168,511,11510,3264,8246,392,301,91,130,5341,995,4346,7308,5045,1153,815,3077,4057,357,2193,375,2720,11510,3264,8246,16408,178,161,17,17,1055,193,862,1016,841,179,153,509,540,924,2913,731,2215,3729,686,3043,6701,21,15,5,306,46,260,233,33,35,165,29,88,678,130,548,25,18,6,347,57,290,272,44,43,186,34,92,770,162,608,15,46,33,94,6,8,5,19
59,1997MM12,11510,3264,8246,667,116,551,757,145,612,90,29,61,740,183,557,11527,3226,8301,388,299,88,131,5351,987,4364,7338,5040,1138,803,3099,4140,353,2178,396,2738,11527,3226,8301,16524,177,160,17,17,1055,192,863,1017,846,177,152,517,546,897,2884,741,2223,3716,681,3035,6687,17,13,4,298,41,257,220,33,29,158,26,107,667,116,551,20,16,5,338,51,286,257,44,34,180,31,111,757,145,612,13,41,33,87,5,7,5,17
