ID,RegioS,Perioden,TotaalMetWoningen_1,ZonderVerzorging_2,MetVerzorging_3,ZowelMetAlsZonderVerzorging_4,TotaalWoningenVoorOuderen_5,TotaalZonderVerzorgingVerzorgingshuis_6,Eenkamerwoningen_7,Tweekamerwoningen_8,Driekamerwoningen_9,TotaalMetVerzorgingVerzorgingshuis_10,Eenkamerwoningen_11,Tweekamerwoningen_12,Driekamerwoningen_13,TotaalAantalVerzorgingshuizen_14,KortdurendeOpnamen_15,DagverzorgingOpvang_16,NachtverzorgingOpvang_17,Maaltijdverstrekking_18,AansluitingOpAlarmsysteem_19,TotaalAantalBewoners_20,JongerDan65Jaar_21,k_6569Jaar_22,k_7074Jaar_23,k_7579Jaar_24,k_8084Jaar_25,k_8589Jaar_26,k_9094Jaar_27,k_95JaarEnOuder_28,TotaalBijgekomenBewoners_29,Mannen_30,Vrouwen_31,TotaalVertrokkenBewoners_32,Mannen_33,Vrouwen_34,TotaalOverledenBewoners_35,Mannen_36,Vrouwen_37,TotaalBijgekomen_38,EigenOmgeving_39,WoningBehorendBijVerzorgingshuis_40,ZiekenhuisOfPsychiatrischZiekenhuis_41,AnderVerzorgingshuis_42,Verpleeghuis_43,TotaalVertrokken_44,EigenWoning_45,PsychiatrischZiekenhuis_46,AnderVerzorgingshuis_47,Verpleeghuis_48,AantalPersonen_49,AantalVerzorgingsdagen_50,AantalPersonen_51,UitAanleunwoningen_52,AantalPersonen_53,UitAanleunwoningen_54,GemiddeldPerDag_55,VoorBewonersUitAanleunwoningen_56,AantalAangeslotenWoningen_57,Aanleunwoningen_58,TotaalFteS_59,AlgemeenBeheer_60,Huishouding_61,GeestelijkeEnCultureleZorg_62,TuinTechniekOnderhoud_63,TotaalVerzorging_64,Verpleegkundigen_65,Ziekenverzorgenden_66,Bejaardenverzorgenden_67,BejaardenhelpendenI_68,BejaardenhelpendenII_69,Verzorgingshulpen_70,PersoneelInOpleiding_71,OverigVerzorgendPersoneel_72,Maaltijdverstrekking_73,OverigWerksoorten_74,TotaalMetVolledigeWeektaak_75,AlgemeenBeheer_76,Huishouding_77,GeestelijkeEnCultureleZorg_78,TuinTechniekOnderhoud_79,TotaalVerzorging_80,Verpleegkundigen_81,Ziekenverzorgenden_82,Bejaardenverzorgenden_83,BejaardenhelpendenI_84,BejaardenhelpendenII_85,Verzorgingshulpen_86,PersoneelInOpleiding_87,OverigVerzorgendPersoneel_88,Maaltijdverstrekking_89,OverigeWerksoorten_90,TotaalMetGedeeltelijkeWeektaak_91,AlgemeenBeheer_92,Huishouding_93,GeestelijkeEnCultureleZorg_94,TuinTechniekOnderhoud_95,TotaalVerzorging_96,Verpleegkundigen_97,Ziekenverzorgenden_98,Bejaardenverzorgenden_99,BejaardenhelpendenI_100,BejaardenhelpendenII_101,Verzorgingshulpen_102,PersoneelInOpleiding_103,OverigVerzorgendPersoneel_104,Maaltijdverstrekking_105,OverigeWerksoorten_106,AantalOproepkrachten_107,UitbetaaldeUren_108,AantalPersonenNietInLoondienst_109,UitbetaaldeUren_110,AantalUitzendkrachten_111,UitbetaaldeUren_112,AantalOverigeUitzendkrachten_113,UitbetaaldeUren_114,AantalBanenpoolers_115,UitbetaaldeUren_116,AantalOverigePersoneelsleden_117,UitbetaaldeUren_118,VerzorgingshuizenMetVrijwilligers_119,AantalVrijwilligers_120,AantalGewerkteUren_121,AantalStagiaires_122,AantalGewerkteUren_123,TotaalKosten_124,SalarissenEnVergoedingen_125,SocialeLastenAnderePersoneelskosten_126,Voeding_127,HotelmatigeKosten_128,AlgemeneKosten_129,BewonergebondenKosten_130,Energie_131,OverigeTerreinEnGebouwgebKosten_132,AfschrijvingenHuurLeasing_133,Overboekingsrekening_134,DiverseLasten_135,KostenPerBewonersplaats_136,TotaalOpbrengsten_137,DienstenAanDerden_138,EigenBijdragen_139,Subsidies_140,BijzondereVergoedingen_141,OverigeOpbrengsten_142,Exploitatiesaldo_143
19,LD03  ,1999JJ00,,,,,,,,,,,,,,582,,,,,,49129,0,4,16,47,94,128,83,24,11960.0,3116,8844,2925.0,601,2324,10170.0,2779,7391,11960,346,22,7,8,16,2925,25,2,63,312,,,,,,,,,,,25106,2000,3396,728,694,14465,974,2934,6059,1201,487,1010,326,1471,3023,800,6893,795,659,40,494,3446,239.0,608.0,1673.0,243.0,45.0,103.0,27.0,508.0,1377,82,34329,2712,5512,1183,383,19396,1341,4182,7799,1619,728,1576,389,1762,3835,1308,,,,,,,,,,,,,,,,,,1280.9,572.4,184.8,88.2,34.9,62.0,7.4,40.5,81.1,244.2,-3.8,10.1,98.4,1283.5,32.9,5.0,0.0,43.8,31.2,2.5
20,LD04  ,1995JJ00,157.0,119.0,21.0,17.0,9281.0,7775.0,631.0,5331.0,1814.0,1506.0,60.0,998.0,448.0,326,144.0,105.0,27.0,117.0,107.0,24288,2,4,13,30,59,58,29,6,5409.0,1475,3934,0.0,0,0,0.0,0,0,5409,162,15,6,10,9,1353,12,4,26,157,2502.0,81322.0,4315.0,861.0,228.0,0.0,8692.0,2058.0,12315.0,8656.0,10695,848,1453,271,275,6280,474,1396,3444,270,72,162,58,404,1290,279,3456,369,234,47,164,1964,,,,,,,,,607,69,14630,1157,2823,457,242,7993,0,0,0,0,0,0,0,0,1655,503,3631.0,1099291.0,1152.0,439472.0,224.0,50750.0,80.0,17527.0,300.0,234947.0,141.0,72993.0,268.0,8890.0,1038304.0,2702.0,1139228.0,482.1,227.2,66.7,34.2,10.9,20.4,2.2,17.1,16.3,89.0,-4.0,2.0,37.3,484.6,9.3,184.2,0.0,14.5,7.0,2.5
21,LD04  ,1996JJ00,162.0,108.0,29.0,25.0,9435.0,7548.0,621.0,5183.0,1744.0,1887.0,128.0,1091.0,669.0,322,149.0,105.0,23.0,117.0,114.0,24138,2,4,13,31,57,57,30,7,5369.0,1473,3896,0.0,0,0,0.0,0,0,5369,164,14,7,6,9,1286,10,3,23,162,2982.0,92356.0,3369.0,497.0,48.0,0.0,9891.0,3013.0,13135.0,8461.0,10820,892,1402,289,273,6393,500,1386,3468,274,80,187,54,444,1325,246,3279,372,219,52,163,1825,,,,,,,,,602,48,15148,1228,2575,493,228,8448,0,0,0,0,0,0,0,0,1713,464,3467.0,1094646.0,1318.0,523081.0,433.0,78737.0,98.0,24327.0,251.0,277130.0,123.0,77564.0,264.0,9569.0,1203825.0,2560.0,755564.0,494.0,232.4,67.9,34.7,11.9,21.1,2.5,18.3,16.6,89.6,-2.2,1.2,38.4,491.5,9.5,189.0,0.0,13.2,7.1,-2.5
22,LD04  ,1997JJ00,182.0,106.0,32.0,44.0,9778.0,7645.0,692.0,5045.0,1907.0,2132.0,109.0,1377.0,645.0,324,149.0,99.0,18.0,115.0,117.0,24046,2,4,13,29,57,59,31,8,5788.0,1548,4240,1350.0,283,1067,4203.0,1308,2895,5787,169,12,6,6,8,1349,9,8,16,167,3072.0,103115.0,3305.0,209.0,77.0,4.0,9757.0,2366.0,12749.0,8529.0,11310,881,1385,298,280,6785,521,1493,3632,302,100,213,58,466,1390,292,3351,363,201,49,179,1867,,,,,,,,,625,68,15807,1194,2546,496,205,9036,0,0,0,0,0,0,0,0,1818,513,3244.0,950486.0,1155.0,511709.0,572.0,87026.0,133.0,35922.0,286.0,313025.0,164.0,75735.0,272.0,10271.0,1296865.0,2508.0,699841.0,511.7,236.1,68.9,35.7,13.3,23.0,2.7,18.7,17.1,95.2,-2.0,3.1,40.6,515.1,10.0,2.4,0.0,13.5,7.8,3.4
23,LD04  ,1998JJ00,185.0,47.0,15.0,123.0,11031.0,9050.0,297.0,6744.0,2009.0,1981.0,218.0,1137.0,626.0,324,155.0,106.0,22.0,125.0,123.0,23779,0,2,10,27,52,63,35,10,5744.0,1558,4186,1359.0,311,1048,4636.0,1356,3280,5743,168,10,4,9,8,1359,19,3,30,149,4669.0,141266.0,4245.0,491.0,355.0,74.0,11124.0,2808.0,13584.0,10493.0,11613,900,1443,350,312,6913,519,1523,3531,328,121,303,72,517,1402,303,3231,358,247,52,215,1690,163.0,319.0,897.0,46.0,14.0,43.0,11.0,196.0,602,68,16213,1185,2571,565,176,9369,661,2259,4565,508,214,489,88,587,1792,555,3212.0,991810.0,1610.0,706581.0,899.0,145224.0,175.0,33301.0,405.0,457136.0,132.0,70907.0,285.0,11803.0,1272170.0,2650.0,773697.0,559.1,258.9,76.0,39.1,15.0,25.3,3.9,19.0,17.9,100.8,-0.6,4.0,44.9,561.5,12.4,1.9,0.0,14.0,10.9,2.3
24,LD04  ,1999JJ00,,,,,,,,,,,,,,322,,,,,,23812,0,2,10,27,50,63,37,10,5943.0,1540,4403,1495.0,303,1192,4703.0,1315,3388,5943,170,12,4,5,8,1495,13,3,29,155,,,,,,,,,,,11846,953,1510,351,290,7006,531,1532,3275,412,160,334,112,649,1366,370,2965,372,246,22,196,1541,114.0,314.0,849.0,38.0,5.0,16.0,2.0,203.0,566,22,16984,1294,2575,603,166,9802,743,2234,4438,627,251,554,129,826,1885,659,,,,,,,,,,,,,,,,,,593.5,272.0,84.3,43.7,16.0,28.3,3.8,18.8,37.2,105.9,-1.2,3.3,47.7,597.2,13.5,2.6,0.0,19.9,14.8,3.6
25,PV20  ,1995JJ00,45.0,32.0,11.0,1.0,2231.0,1550.0,0.0,1119.0,432.0,681.0,7.0,183.0,491.0,65,85.0,46.0,9.0,77.0,74.0,4857,0,1,5,11,25,31,20,6,1103.0,321,782,0.0,0,0,0.0,0,0,1103,85,5,2,4,4,271,4,0,44,52,944.0,26477.0,798.0,36.0,1.0,0.0,2554.0,708.0,2928.0,2059.0,1972,127,264,47,55,1164,104,198,556,128,24,37,46,72,276,39,551,67,65,8,40,232,,,,,,,,,132,5,2863,126,408,70,34,1784,0,0,0,0,0,0,0,0,361,79,908.0,346845.0,254.0,115881.0,56.0,4516.0,11.0,7343.0,126.0,93167.0,4.0,4585.0,53.0,1652.0,214810.0,623.0,299687.0,110.0,45.1,13.4,8.4,2.5,6.5,0.5,3.8,3.9,24.0,0.0,1.9,20.2,117.4,3.8,37.7,69.1,3.1,3.8,7.4
26,PV20  ,1996JJ00,45.0,33.0,8.0,4.0,2394.0,1709.0,22.0,1008.0,679.0,684.0,0.0,112.0,572.0,66,79.0,47.0,11.0,73.0,74.0,4745,0,1,5,12,26,30,20,6,1177.0,316,861,0.0,0,0,0.0,0,0,1177,85,7,2,3,4,215,17,1,16,67,760.0,24791.0,1061.0,21.0,4.0,0.0,2821.0,681.0,2929.0,1860.0,2039,125,260,41,49,1204,108,200,639,113,27,31,25,61,291,70,569,69,62,7,32,249,,,,,,,,,131,18,2946,136,421,64,41,1800,0,0,0,0,0,0,0,0,377,106,773.0,336723.0,342.0,230245.0,100.0,10676.0,7.0,3655.0,181.0,206201.0,8.0,4735.0,55.0,1764.0,238466.0,647.0,203128.0,109.8,45.2,13.3,8.2,2.6,6.0,0.5,4.0,3.4,24.5,0.0,1.9,20.6,110.5,4.0,36.9,61.8,3.0,4.8,0.8
27,PV20  ,1997JJ00,50.0,28.0,11.0,11.0,2593.0,1717.0,11.0,970.0,736.0,876.0,42.0,243.0,591.0,65,77.0,38.0,5.0,77.0,77.0,4751,1,1,5,12,25,31,20,7,1205.0,334,871,178.0,33,145,1064.0,314,750,1205,85,7,1,3,4,178,8,3,10,80,855.0,26129.0,722.0,42.0,22.0,0.0,2948.0,667.0,3101.0,1993.0,2064,131,265,45,51,1228,104,213,686,83,34,34,21,53,293,51,506,69,56,7,34,208,,,,,,,,,124,8,3043,151,421,72,41,1880,0,0,0,0,0,0,0,0,389,89,846.0,360381.0,325.0,249017.0,80.0,8245.0,13.0,4096.0,213.0,224687.0,19.0,11990.0,59.0,1914.0,209869.0,622.0,196037.0,109.2,48.4,13.7,7.8,2.7,5.1,0.5,4.2,3.1,23.4,-0.1,0.5,21.5,108.6,3.0,0.5,99.1,2.9,3.1,-0.6
28,PV20  ,1998JJ00,48.0,9.0,10.0,29.0,3099.0,2039.0,106.0,1299.0,634.0,1060.0,119.0,321.0,620.0,62,82.0,44.0,5.0,77.0,85.0,4659,0,1,4,12,25,31,20,6,1095.0,298,797,213.0,50,163,983.0,294,689,1095,85,7,2,3,4,213,8,4,14,74,979.0,29626.0,686.0,101.0,34.0,7.0,3127.0,813.0,3416.0,2810.0,2178,149,270,63,66,1277,98,253,686,79,30,44,12,75,298,59,509,61,47,6,45,216,28.0,40.0,105.0,10.0,3.0,6.0,1.0,23.0,121,14,3165,190,439,108,37,1876,123,388,991,133,54,77,15,94,424,91,779.0,310303.0,375.0,200458.0,167.0,23629.0,26.0,3391.0,171.0,167575.0,12.0,5864.0,58.0,2168.0,195505.0,669.0,163662.0,112.5,50.2,14.2,7.9,2.9,5.2,0.5,4.0,3.1,23.7,0.1,0.5,22.7,112.5,3.2,0.6,102.0,3.2,3.6,0.0
29,PV20  ,1999JJ00,,,,,,,,,,,,,,63,,,,,,4603,0,1,4,12,23,32,21,6,1167.0,305,862,273.0,61,212,1034.0,320,714,1167,88,5,1,2,4,273,4,1,16,79,,,,,,,,,,,2244,153,289,53,63,1355,93,266,661,95,31,69,25,115,274,57,531,61,51,1,42,246,24.0,44.0,135.0,6.0,0.0,2.0,2.0,33.0,122,8,3188,211,480,95,37,1932,110,396,946,142,54,106,29,149,351,82,,,,,,,,,,,,,,,,,,118.6,52.0,16.7,8.8,3.0,5.7,0.6,3.9,7.3,23.9,-0.2,0.9,24.1,118.8,3.9,0.5,106.5,4.2,3.8,0.1
30,PV21  ,1995JJ00,45.0,35.0,4.0,5.0,2860.0,2435.0,123.0,1748.0,564.0,425.0,94.0,209.0,122.0,67,93.0,48.0,22.0,85.0,79.0,5051,0,1,5,12,24,30,21,6,1196.0,309,887,0.0,0,0,0.0,0,0,1196,83,7,5,1,4,283,7,2,8,83,588.0,14831.0,1382.0,16.0,13.0,0.0,3227.0,521.0,3053.0,2524.0,2176,157,264,46,74,1277,130,166,668,119,27,54,10,103,300,57,626,83,56,7,57,275,,,,,,,,,141,7,3174,166,446,75,31,1954,0,0,0,0,0,0,0,0,388,115,670.0,224711.0,315.0,135999.0,79.0,22086.0,34.0,4512.0,124.0,90541.0,31.0,14330.0,60.0,2276.0,210592.0,783.0,214904.0,104.2,44.4,12.3,7.5,2.2,4.6,0.3,3.8,3.4,25.2,-0.3,0.7,19.4,106.4,3.4,38.2,60.5,1.1,3.0,2.0
31,PV21  ,1996JJ00,44.0,35.0,5.0,4.0,2718.0,2116.0,80.0,1387.0,650.0,602.0,118.0,296.0,188.0,66,92.0,50.0,25.0,82.0,77.0,4892,1,1,5,12,24,31,20,6,1142.0,314,828,0.0,0,0,0.0,0,0,1142,82,9,2,2,4,297,6,0,11,83,948.0,17051.0,1731.0,175.0,15.0,0.0,2403.0,510.0,2952.0,2214.0,2189,143,261,50,72,1272,124,190,671,80,39,51,12,106,311,80,585,73,44,8,56,244,,,,,,,,,145,14,3223,143,462,85,28,1960,0,0,0,0,0,0,0,0,418,128,671.0,258945.0,360.0,170240.0,82.0,20166.0,22.0,4611.0,177.0,131730.0,35.0,9518.0,59.0,2431.0,174273.0,835.0,241618.0,112.7,49.2,13.3,7.6,2.4,5.3,0.5,4.4,4.0,25.6,-0.1,0.5,21.7,114.9,2.9,40.8,65.8,1.5,3.8,2.2
32,PV21  ,1997JJ00,44.0,27.0,5.0,12.0,2855.0,2273.0,14.0,1566.0,693.0,582.0,128.0,371.0,83.0,65,92.0,49.0,9.0,77.0,78.0,4842,1,2,4,12,23,32,20,6,1232.0,350,882,264.0,59,205,987.0,318,669,1232,82,9,3,2,4,264,8,0,10,82,1065.0,29086.0,989.0,165.0,12.0,50.0,2375.0,379.0,3029.0,2087.0,2261,151,281,61,80,1320,104,192,711,67,55,59,11,121,295,73,599,68,55,12,58,247,,,,,,,,,139,20,3304,175,478,96,37,2031,0,0,0,0,0,0,0,0,390,96,713.0,271465.0,372.0,218973.0,146.0,32021.0,30.0,7934.0,167.0,172177.0,28.0,6841.0,61.0,2922.0,251289.0,886.0,260863.0,109.0,47.5,13.3,7.3,2.4,4.9,0.5,4.1,3.8,24.7,0.0,0.5,21.7,109.8,3.3,0.6,101.2,1.8,2.8,0.8
33,PV21  ,1998JJ00,43.0,15.0,1.0,27.0,2880.0,2482.0,65.0,1913.0,504.0,398.0,11.0,254.0,133.0,65,92.0,51.0,11.0,75.0,82.0,4491,0,1,4,12,24,32,19,6,1087.0,318,769,243.0,53,190,942.0,287,655,1087,83,6,2,4,5,243,5,1,9,85,1136.0,33078.0,786.0,83.0,56.0,14.0,2611.0,705.0,2955.0,2587.0,2277,176,297,65,71,1340,112,251,701,76,28,48,12,112,287,43,582,82,51,12,50,247,34.0,43.0,117.0,8.0,2.0,6.0,1.0,35.0,132,7,3249,192,518,101,34,1963,151,385,1019,124,47,78,17,142,366,76,815.0,317892.0,415.0,187628.0,213.0,26273.0,58.0,9829.0,123.0,136781.0,22.0,14744.0,61.0,2407.0,253748.0,693.0,262941.0,111.0,49.0,13.7,7.9,2.5,5.1,0.7,4.0,3.8,24.2,-0.4,0.4,23.4,111.5,3.4,0.3,103.3,1.5,3.0,0.6
34,PV21  ,1999JJ00,,,,,,,,,,,,,,63,,,,,,4418,0,1,4,11,23,32,21,7,1164.0,288,876,248.0,59,189,963.0,272,691,1164,85,5,2,4,3,248,2,0,17,81,,,,,,,,,,,2279,177,312,46,59,1363,83,246,660,158,22,48,11,134,249,74,542,70,57,2,39,260,13.0,45.0,134.0,30.0,0.0,2.0,0.0,36.0,106,8,3362,209,513,76,28,2036,124,381,996,236,39,76,11,173,364,136,,,,,,,,,,,,,,,,,,117.5,50.8,17.0,8.2,2.7,6.0,0.5,3.8,7.4,25.1,-0.9,0.6,25.5,117.4,4.5,0.2,106.3,1.6,4.7,-0.1
35,PV22  ,1995JJ00,37.0,29.0,6.0,2.0,2362.0,2041.0,345.0,1416.0,280.0,321.0,43.0,277.0,0.0,43,95.0,88.0,42.0,93.0,88.0,3317,0,1,5,13,26,31,19,5,717.0,205,512,0.0,0,0,0.0,0,0,717,82,12,2,1,2,167,3,11,5,81,634.0,23295.0,387.0,43.0,35.0,0.0,2557.0,580.0,2326.0,1803.0,1440,117,220,50,41,775,85,158,371,32,23,34,3,68,209,28,374,63,37,4,28,129,,,,,,,,,108,4,2129,109,370,87,25,1271,0,0,0,0,0,0,0,0,211,56,636.0,219454.0,177.0,68438.0,24.0,1344.0,0.0,0.0,110.0,56046.0,12.0,8590.0,40.0,2708.0,208179.0,734.0,254035.0,74.7,33.7,8.7,5.6,1.9,3.6,0.3,2.6,2.1,16.4,0.2,0.2,20.4,74.8,2.8,27.0,41.4,1.4,2.2,0.1
36,PV22  ,1996JJ00,38.0,24.0,9.0,5.0,2433.0,1906.0,371.0,1343.0,192.0,527.0,42.0,383.0,102.0,43,91.0,74.0,44.0,91.0,79.0,3220,0,1,5,13,26,30,19,5,758.0,231,527,0.0,0,0,0.0,0,0,757,84,10,1,2,3,213,16,3,7,73,453.0,13961.0,358.0,45.0,31.0,0.0,2183.0,539.0,2350.0,1850.0,1455,116,214,52,41,807,85,176,366,40,22,40,7,71,206,18,361,58,35,6,28,139,,,,,,,,,93,1,2139,125,358,85,30,1268,0,0,0,0,0,0,0,0,225,48,727.0,298636.0,208.0,83949.0,21.0,1965.0,38.0,1470.0,111.0,73694.0,7.0,4812.0,39.0,2744.0,234653.0,727.0,166892.0,74.0,33.5,8.9,5.7,1.8,3.4,0.4,2.9,2.2,15.4,-0.2,0.2,21.2,74.0,2.0,26.4,41.7,1.4,2.5,0.0
37,PV22  ,1997JJ00,41.0,20.0,8.0,13.0,2205.0,1738.0,143.0,1384.0,211.0,467.0,7.0,340.0,121.0,43,95.0,51.0,19.0,84.0,77.0,3280,0,1,5,13,26,30,19,6,840.0,256,584,209.0,43,166,618.0,202,416,840,82,8,3,4,4,210,17,3,15,65,1373.0,43879.0,403.0,144.0,33.0,9.0,2082.0,573.0,2274.0,1852.0,1517,124,219,49,41,861,68,194,404,44,25,38,5,83,201,21,365,62,32,4,31,140,,,,,,,,,90,5,2210,136,376,75,20,1343,0,0,0,0,0,0,0,0,224,35,684.0,290964.0,226.0,109609.0,94.0,9117.0,9.0,1687.0,113.0,92059.0,11.0,6746.0,43.0,2421.0,223439.0,583.0,163918.0,72.7,32.6,9.0,5.2,1.8,3.4,0.4,2.7,2.3,15.4,-0.3,0.2,20.9,73.5,1.8,1.6,66.8,1.3,2.0,0.8
38,PV22  ,1998JJ00,37.0,7.0,3.0,27.0,2546.0,2101.0,47.0,1763.0,291.0,445.0,9.0,300.0,136.0,41,95.0,54.0,22.0,83.0,80.0,3146,0,1,5,12,25,32,19,6,743.0,199,544,182.0,33,149,634.0,175,459,743,81,6,5,4,4,182,8,7,11,75,877.0,28712.0,508.0,69.0,217.0,20.0,1840.0,521.0,2340.0,1980.0,1566,134,215,47,46,900,68,202,420,48,25,47,10,79,193,33,413,57,37,6,34,186,18.0,35.0,87.0,7.0,4.0,8.0,1.0,26.0,86,7,2215,158,362,75,21,1308,100,319,582,77,41,76,12,101,237,54,499.0,217945.0,268.0,123841.0,142.0,16912.0,25.0,3315.0,89.0,98117.0,11.0,5495.0,41.0,1958.0,192959.0,422.0,150382.0,79.7,35.8,10.4,5.6,2.0,3.8,0.5,2.9,2.5,16.0,-0.3,0.5,23.9,80.1,2.5,0.5,72.9,1.6,2.6,0.4
39,PV22  ,1999JJ00,,,,,,,,,,,,,,41,,,,,,3216,0,1,5,12,24,32,19,6,787.0,209,578,172.0,40,132,663.0,187,476,787,87,5,1,2,5,172,3,0,17,80,,,,,,,,,,,1674,122,240,56,40,973,85,191,466,65,32,43,12,78,199,44,383,51,44,0,27,180,15.0,38.0,93.0,9.0,1.0,0.0,0.0,24.0,81,0,2433,158,404,101,27,1397,127,294,642,100,53,69,14,98,269,77,,,,,,,,,,,,,,,,,,83.8,37.3,11.2,6.2,2.1,3.9,0.5,2.7,5.3,17.0,-0.2,0.5,24.8,84.1,2.5,0.2,76.2,2.3,2.9,0.4
40,PV23  ,1995JJ00,63.0,47.0,10.0,6.0,4137.0,2959.0,167.0,1504.0,1288.0,1178.0,80.0,721.0,377.0,98,91.0,62.0,18.0,74.0,71.0,8016,0,2,5,13,28,31,16,4,1611.0,386,1225,0.0,0,0,0.0,0,0,1611,86,9,1,2,2,430,3,2,7,87,1542.0,33646.0,1479.0,37.0,11.0,0.0,3237.0,685.0,4911.0,3724.0,3381,294,512,91,121,1858,113,410,965,136,22,54,45,111,421,85,1191,150,155,21,91,553,,,,,,,,,202,20,4551,343,798,148,58,2563,0,0,0,0,0,0,0,0,487,154,1253.0,475014.0,441.0,219977.0,45.0,7773.0,16.0,2758.0,134.0,126344.0,146.0,70332.0,85.0,4015.0,412822.0,1294.0,650337.0,163.3,72.7,21.3,12.4,3.8,7.4,0.7,5.6,6.1,32.9,-0.2,0.5,18.6,163.3,3.6,61.9,92.7,2.2,2.9,0.0
41,PV23  ,1996JJ00,63.0,41.0,12.0,10.0,4351.0,2879.0,202.0,1516.0,1161.0,1472.0,91.0,761.0,620.0,92,86.0,57.0,21.0,73.0,72.0,7463,1,2,5,13,28,30,17,4,1668.0,437,1231,0.0,0,0,0.0,0,0,1668,81,14,2,1,2,441,5,3,12,81,1438.0,34266.0,907.0,35.0,20.0,0.0,2950.0,867.0,5137.0,3605.0,3163,266,478,95,112,1757,110,382,926,82,66,56,39,96,389,65,1070,140,121,21,83,502,,,,,,,,,188,14,4218,293,730,150,54,2450,0,0,0,0,0,0,0,0,443,98,1311.0,408737.0,524.0,242434.0,103.0,14572.0,26.0,4348.0,171.0,151177.0,122.0,60329.0,80.0,4448.0,473501.0,1195.0,408451.0,156.2,68.3,19.7,12.9,3.5,6.6,0.8,5.6,5.2,32.1,1.0,0.5,18.7,156.1,4.2,58.4,86.9,3.1,3.5,-0.1
42,PV23  ,1997JJ00,68.0,31.0,11.0,26.0,4464.0,2986.0,128.0,1991.0,867.0,1478.0,102.0,876.0,500.0,93,92.0,55.0,16.0,77.0,75.0,7500,1,2,5,13,27,31,17,5,1708.0,461,1247,471.0,93,378,1407.0,436,971,1708,82,10,2,2,3,471,8,1,14,77,1702.0,42554.0,1139.0,1179.0,70.0,5.0,3736.0,1052.0,5532.0,3815.0,3394,278,516,90,115,1893,128,442,939,138,77,57,11,101,422,81,1044,134,117,14,82,481,,,,,,,,,201,15,4668,340,811,155,61,2658,0,0,0,0,0,0,0,0,507,136,1391.0,431371.0,479.0,249091.0,152.0,25636.0,23.0,5247.0,172.0,150144.0,131.0,68065.0,88.0,5049.0,500854.0,1140.0,406795.0,161.4,71.3,21.1,11.4,4.1,7.4,0.9,6.0,5.5,33.2,-0.1,0.6,21.1,161.9,3.7,0.8,150.8,3.4,3.2,0.5
43,PV23  ,1998JJ00,64.0,19.0,6.0,39.0,4294.0,3442.0,129.0,2609.0,704.0,852.0,69.0,585.0,198.0,96,93.0,53.0,15.0,77.0,76.0,7458,0,1,5,13,25,31,19,6,1749.0,465,1284,454.0,98,356,1437.0,401,1036,1749,82,7,2,5,4,455,8,1,16,75,2013.0,55658.0,1263.0,126.0,117.0,26.0,3926.0,1173.0,4736.0,4149.0,3479,265,531,102,98,2031,140,450,1054,112,36,73,22,142,399,93,997,113,112,13,72,489,44.0,92.0,262.0,23.0,7.0,13.0,3.0,45.0,179,19,4905,351,845,171,51,2791,182,696,1375,167,56,118,27,170,532,165,1198.0,373261.0,467.0,213065.0,258.0,35735.0,65.0,7575.0,143.0,154739.0,30.0,15011.0,90.0,4124.0,414339.0,909.0,273198.0,175.2,79.7,22.6,12.4,4.4,8.0,1.0,6.1,5.4,34.8,-0.1,0.9,22.2,176.0,4.4,0.4,163.8,3.5,3.9,0.7
44,PV23  ,1999JJ00,,,,,,,,,,,,,,94,,,,,,7512,0,1,5,13,25,32,19,5,1808.0,494,1314,423.0,83,340,1486.0,421,1065,1808,87,7,1,2,4,423,4,0,15,81,,,,,,,,,,,3603,276,504,99,98,2118,150,499,1016,119,39,80,26,188,414,95,907,105,95,5,68,466,35.0,104.0,255.0,13.0,0.0,4.0,0.0,55.0,160,8,5227,375,809,169,53,3057,199,797,1410,186,62,124,27,252,611,153,,,,,,,,,,,,,,,,,,188.0,85.7,25.8,13.5,4.9,8.3,1.0,6.1,11.9,36.3,-0.1,0.9,24.0,188.9,4.8,0.6,173.3,5.4,4.9,1.0
45,PV24  ,1995JJ00,6.0,5.0,1.0,0.0,262.0,211.0,0.0,124.0,87.0,51.0,0.0,9.0,41.0,11,100.0,63.0,9.0,82.0,73.0,1044,0,2,8,16,32,28,11,2,229.0,60,169,0.0,0,0,0.0,0,0,229,92,4,1,1,2,231,8,3,8,81,206.0,5932.0,82.0,0.0,1.0,0.0,683.0,38.0,370.0,236.0,432,44,54,16,15,224,31,27,99,22,2,18,5,20,68,10,101,16,8,1,9,38,,,,,,,,,27,2,754,77,109,31,12,389,0,0,0,0,0,0,0,0,122,14,225.0,81157.0,69.0,8218.0,52.0,3254.0,1.0,41.0,9.0,3962.0,0.0,0.0,11.0,590.0,104417.0,123.0,21726.0,21.1,8.8,2.5,1.4,0.5,1.2,0.1,0.7,0.3,5.1,0.2,0.0,19.2,21.0,0.6,6.3,13.6,0.3,0.4,0.2
46,PV24  ,1996JJ00,5.0,4.0,1.0,0.0,249.0,211.0,0.0,145.0,66.0,38.0,0.0,38.0,0.0,10,100.0,60.0,10.0,90.0,70.0,883,0,1,6,17,32,29,12,3,180.0,58,122,0.0,0,0,0.0,0,0,180,90,3,0,4,3,60,5,2,20,73,1011.0,7079.0,81.0,5.0,2.0,0.0,353.0,23.0,467.0,249.0,377,49,36,10,14,191,23,40,85,9,11,16,3,5,69,8,82,17,7,1,9,23,,,,,,,,,24,1,647,71,85,20,7,339,0,0,0,0,0,0,0,0,101,24,206.0,63932.0,60.0,9228.0,38.0,1149.0,5.0,324.0,12.0,7000.0,0.0,0.0,9.0,379.0,16510.0,83.0,17212.0,18.7,8.2,2.0,1.3,0.5,1.1,0.0,0.7,0.4,4.3,0.1,0.0,19.7,18.6,0.1,5.9,11.3,0.1,1.0,-0.1
